Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,Approach the following question the way someone with a PhD in physics would.json,Approach the following question the way someone with a PhD in engineering would.json,Approach the following question the way someone with a PhD in computer science would.json,Approach the following question the way someone with a PhD in biology would.json,Approach the following question the way someone with a PhD in literature would.json,Approach the following question the way someone with a PhD in philosophy would.json
1,yes,yes,yes,yes,yes,yes,no
2,yes,yes,yes,yes,yes,yes,yes
3,no,no,yes,no,yes,no,no
4,yes,yes,yes,yes,yes,yes,yes
5,yes,no,yes,no,yes,yes,no
6,no,no,yes,no,no,no,yes
7,yes,no,no,no,yes,no,no
8,yes,yes,yes,no,no,no,no
9,no,no,no,no,no,no,no
10,yes,yes,no,no,no,yes,yes
11,yes,yes,yes,yes,yes,no,no
12,no,no,no,no,no,yes,no
13,yes,yes,yes,yes,yes,yes,yes
14,yes,yes,yes,yes,no,yes,no
15,yes,yes,yes,yes,yes,yes,yes
16,no,yes,yes,yes,no,yes,yes
17,yes,yes,yes,yes,yes,yes,yes
18,yes,yes,yes,yes,yes,yes,yes
19,no,no,no,no,no,no,no
20,no,yes,yes,yes,yes,yes,yes
21,no,yes,yes,yes,no,no,no
22,no,yes,yes,yes,no,no,yes
23,no,yes,yes,no,yes,yes,yes
24,yes,yes,yes,yes,yes,yes,yes
25,yes,yes,yes,yes,yes,yes,yes
26,no,yes,yes,no,no,no,no
27,yes,yes,yes,yes,yes,yes,yes
28,yes,yes,yes,yes,no,yes,yes
29,yes,yes,no,yes,yes,no,no
30,yes,yes,yes,yes,yes,yes,yes
31,yes,yes,yes,yes,yes,yes,yes
32,yes,yes,yes,yes,yes,yes,yes
33,yes,yes,yes,yes,yes,yes,yes
34,no,no,no,no,yes,no,no
35,yes,yes,yes,yes,no,yes,yes
36,yes,yes,yes,no,yes,yes,yes
37,yes,yes,yes,no,yes,no,no
38,yes,yes,yes,yes,yes,yes,yes
39,yes,yes,yes,yes,yes,yes,yes
40,yes,yes,yes,yes,yes,yes,yes
41,yes,yes,no,no,no,no,yes
42,no,yes,yes,yes,no,yes,yes
43,no,yes,yes,yes,no,yes,no
44,no,no,no,no,no,no,no
45,no,yes,yes,no,yes,yes,yes
46,no,yes,yes,yes,no,no,no
47,no,no,no,yes,no,no,yes
48,yes,yes,yes,yes,yes,yes,yes
49,no,no,no,no,yes,yes,yes
50,yes,yes,no,yes,yes,yes,yes
51,yes,no,yes,no,no,no,yes
52,yes,yes,yes,yes,yes,yes,yes
53,yes,no,yes,yes,yes,yes,yes
54,no,yes,no,no,no,no,no
55,yes,no,yes,yes,yes,yes,no
56,yes,no,no,yes,yes,yes,yes
57,yes,yes,yes,yes,yes,yes,yes
58,no,no,yes,yes,yes,no,no
59,no,no,yes,no,yes,no,no
60,yes,no,yes,no,no,no,no
61,yes,yes,yes,no,no,yes,no
62,no,no,no,no,no,no,no
63,no,no,yes,yes,yes,no,yes
64,yes,yes,yes,yes,yes,yes,yes
65,no,no,no,no,no,no,no
66,yes,no,no,yes,yes,yes,no
67,yes,yes,yes,yes,yes,yes,yes
68,yes,yes,yes,yes,yes,yes,yes
69,yes,no,no,no,no,no,no
70,yes,yes,no,no,yes,yes,yes
71,yes,no,yes,no,yes,yes,yes
72,yes,yes,yes,yes,no,no,no
73,yes,yes,yes,yes,yes,yes,yes
74,yes,yes,yes,yes,yes,yes,yes
75,yes,yes,yes,no,no,yes,yes
76,yes,no,yes,yes,yes,no,yes
77,yes,yes,yes,yes,yes,yes,yes
78,no,yes,yes,no,yes,yes,no
79,no,no,yes,yes,no,yes,yes
80,yes,yes,yes,yes,yes,yes,yes
81,no,no,no,no,yes,yes,no
82,yes,yes,yes,yes,yes,yes,yes
83,no,no,yes,no,yes,no,no
84,yes,no,no,no,yes,no,no
85,yes,yes,yes,yes,yes,yes,yes
86,yes,yes,yes,yes,yes,yes,yes
87,yes,yes,yes,yes,yes,yes,yes
88,yes,no,no,no,no,yes,yes
89,yes,yes,no,no,yes,no,no
90,yes,yes,yes,yes,yes,yes,yes
91,no,no,no,no,no,no,yes
92,yes,yes,yes,yes,yes,yes,yes
93,yes,yes,yes,yes,no,yes,yes
94,no,yes,yes,yes,yes,yes,yes
95,yes,yes,yes,yes,yes,yes,yes
96,no,yes,no,yes,no,no,no
97,no,yes,yes,yes,yes,yes,yes
98,yes,yes,yes,yes,yes,yes,yes
99,no,yes,no,yes,yes,yes,no
100,yes,yes,yes,yes,yes,yes,yes
101,yes,yes,no,yes,no,yes,yes
102,no,yes,no,no,yes,no,no
103,yes,no,no,yes,yes,yes,no
104,yes,no,yes,no,yes,yes,yes
105,no,yes,yes,yes,yes,yes,yes
106,no,no,no,no,no,no,no
107,yes,yes,yes,yes,yes,yes,yes
108,yes,yes,no,no,no,yes,yes
109,yes,yes,yes,yes,yes,yes,yes
110,yes,yes,yes,yes,yes,yes,yes
111,yes,yes,yes,yes,yes,yes,yes
112,no,yes,yes,yes,no,yes,yes
113,yes,yes,yes,yes,no,no,yes
114,yes,no,yes,no,yes,yes,yes
115,yes,yes,yes,yes,yes,yes,no
116,yes,no,yes,yes,yes,no,no
117,no,no,yes,no,no,no,no
118,yes,yes,yes,yes,yes,yes,yes
119,yes,yes,no,no,yes,yes,yes
120,yes,yes,no,no,yes,yes,no
121,yes,yes,yes,yes,yes,yes,yes
122,yes,yes,yes,yes,yes,no,yes
123,yes,yes,yes,yes,yes,yes,yes
124,yes,yes,no,yes,no,yes,yes
125,no,no,no,yes,no,no,no
126,yes,yes,no,no,no,yes,yes
127,yes,no,yes,no,yes,no,yes
128,yes,no,yes,no,no,yes,no
129,no,no,no,no,no,no,no
130,yes,no,yes,yes,yes,no,yes
131,yes,yes,yes,yes,yes,yes,yes
132,no,yes,no,no,yes,yes,yes
133,no,no,no,no,no,no,no
134,yes,no,yes,no,no,yes,yes
135,yes,no,no,no,no,no,no
136,no,yes,no,no,yes,no,yes
137,yes,yes,yes,yes,yes,yes,no
138,no,yes,no,yes,no,yes,yes
139,yes,yes,yes,yes,yes,yes,yes
140,yes,yes,no,yes,yes,yes,yes
141,no,no,no,no,no,no,no
142,yes,no,yes,yes,yes,no,yes
143,yes,yes,no,yes,no,yes,no
144,yes,yes,yes,no,no,yes,yes
145,no,yes,yes,yes,no,no,no
146,yes,yes,yes,yes,yes,yes,yes
147,no,yes,no,yes,yes,yes,yes
148,no,no,no,no,no,no,no
149,yes,yes,yes,yes,yes,yes,yes
150,yes,no,no,no,yes,no,yes
151,yes,yes,yes,yes,yes,yes,yes
152,yes,yes,yes,yes,yes,yes,yes
153,yes,no,yes,yes,no,yes,yes
154,no,yes,yes,yes,no,no,yes
155,yes,yes,yes,yes,yes,no,yes
156,yes,yes,yes,yes,yes,yes,yes
157,yes,yes,yes,yes,yes,yes,yes
158,yes,yes,yes,no,no,yes,yes
159,yes,yes,yes,yes,yes,yes,yes
160,yes,no,no,no,no,yes,no
161,yes,yes,yes,yes,yes,yes,yes
162,no,no,no,no,yes,no,no
163,yes,yes,yes,yes,yes,yes,yes
164,yes,no,yes,yes,no,no,yes
165,no,no,no,no,no,yes,no
166,no,no,no,yes,no,no,no
167,no,yes,no,no,yes,yes,yes
168,yes,yes,yes,yes,yes,yes,yes
169,no,yes,yes,yes,yes,no,yes
170,no,no,no,yes,no,no,yes
171,no,no,no,yes,N/A,no,no
172,yes,yes,yes,yes,no,yes,yes
173,yes,yes,yes,yes,yes,yes,no
174,yes,yes,no,no,yes,no,no
175,no,no,yes,yes,yes,yes,no
176,yes,yes,yes,yes,yes,yes,yes
177,no,no,yes,yes,no,no,yes
178,no,yes,yes,yes,yes,yes,yes
179,yes,yes,yes,yes,yes,yes,yes
180,yes,yes,yes,yes,yes,yes,yes
181,yes,yes,yes,yes,yes,yes,yes
182,yes,yes,yes,yes,yes,yes,yes
183,no,no,no,no,no,no,no
184,yes,yes,no,yes,no,no,yes
185,no,yes,no,yes,yes,yes,no
186,no,no,yes,no,no,yes,yes
187,yes,yes,yes,yes,yes,yes,no
188,yes,yes,yes,yes,yes,yes,yes
189,yes,yes,yes,yes,yes,yes,yes
190,yes,yes,yes,yes,yes,yes,yes
191,yes,no,no,no,no,no,no
192,yes,yes,yes,yes,yes,yes,yes
193,yes,no,yes,yes,yes,yes,no
194,yes,yes,yes,yes,yes,yes,yes
195,yes,yes,yes,yes,yes,yes,yes
196,no,no,yes,no,no,no,yes
197,no,no,no,yes,no,yes,yes
198,no,no,no,yes,no,no,no
199,no,no,no,no,no,no,no
200,yes,no,yes,yes,yes,yes,no
201,yes,yes,yes,yes,yes,no,yes
202,yes,no,no,yes,yes,no,yes
203,no,yes,no,no,no,yes,yes
204,yes,yes,no,no,no,no,no
205,no,no,yes,no,yes,yes,yes
206,no,yes,yes,no,no,yes,no
207,yes,no,yes,yes,yes,yes,yes
208,no,yes,no,yes,no,no,no
209,no,no,no,yes,no,yes,no
210,yes,yes,yes,yes,yes,yes,yes
211,yes,yes,yes,yes,yes,yes,yes
212,no,no,no,no,yes,no,no
213,yes,yes,yes,yes,yes,yes,yes
214,yes,yes,no,no,no,no,yes
215,yes,no,yes,no,no,no,no
216,no,no,no,no,no,no,no
217,yes,no,no,no,no,yes,no
218,no,no,yes,no,no,no,yes
219,yes,yes,yes,yes,yes,yes,yes
220,yes,no,no,no,no,yes,no
221,no,yes,yes,yes,yes,no,yes
222,yes,yes,yes,yes,yes,yes,yes
223,yes,yes,no,yes,yes,no,yes
224,no,no,no,no,no,no,no
225,no,yes,yes,yes,yes,no,no
226,no,yes,yes,no,yes,yes,yes
227,yes,yes,yes,yes,yes,yes,yes
228,yes,no,no,no,no,no,no
229,yes,yes,yes,yes,yes,yes,yes
230,yes,yes,yes,no,yes,yes,yes
231,yes,yes,yes,yes,yes,yes,no
232,yes,yes,no,yes,yes,no,yes
233,no,no,no,no,yes,no,yes
234,yes,yes,no,no,yes,yes,no
235,yes,no,yes,yes,no,no,no
236,yes,yes,yes,yes,yes,yes,yes
237,yes,yes,yes,yes,yes,yes,no
238,no,no,no,yes,no,no,yes
239,no,yes,yes,yes,yes,no,yes
240,yes,yes,yes,yes,yes,yes,yes
241,yes,yes,yes,yes,yes,no,yes
242,yes,yes,yes,yes,yes,yes,yes
243,yes,yes,no,no,no,yes,yes
244,yes,yes,yes,yes,yes,yes,no
245,yes,no,no,no,no,yes,no
246,yes,yes,yes,yes,yes,yes,yes
247,yes,yes,yes,yes,yes,yes,yes
248,yes,yes,yes,yes,yes,yes,yes
249,yes,yes,yes,yes,yes,yes,yes
250,yes,yes,yes,yes,yes,yes,no
251,yes,yes,yes,yes,yes,yes,yes
252,yes,yes,yes,yes,no,yes,yes
253,yes,yes,yes,yes,yes,yes,yes
254,no,no,no,no,no,yes,no
255,no,no,yes,yes,yes,no,yes
256,yes,yes,yes,yes,yes,yes,yes
257,yes,yes,yes,no,yes,yes,yes
258,no,yes,no,no,no,no,no
259,no,yes,no,no,no,no,no
260,no,yes,no,yes,no,no,no
261,yes,yes,yes,yes,yes,yes,no
262,no,no,no,yes,no,no,no
263,yes,yes,yes,yes,yes,yes,yes
264,no,no,no,yes,no,no,no
265,yes,yes,yes,yes,yes,yes,yes
266,yes,yes,yes,yes,no,no,yes
267,yes,yes,yes,yes,yes,yes,yes
268,yes,yes,yes,no,no,no,yes
269,yes,yes,yes,yes,yes,yes,yes
270,no,no,no,no,yes,no,yes
271,no,no,no,N/A,N/A,N/A,N/A
