Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
0,no,yes,yes,yes
1,yes,yes,yes,yes
2,yes,yes,yes,yes
3,no,yes,yes,yes
4,yes,yes,yes,yes
5,yes,no,yes,yes
6,yes,yes,yes,yes
7,no,yes,no,yes
8,yes,yes,yes,yes
9,yes,yes,yes,yes
10,yes,yes,yes,no
11,yes,yes,yes,yes
12,yes,yes,yes,yes
13,yes,yes,yes,yes
14,no,no,yes,yes
15,no,N/A,no,yes
16,yes,yes,yes,yes
17,yes,yes,yes,yes
18,yes,yes,yes,yes
19,yes,yes,yes,yes
20,yes,N/A,yes,yes
21,yes,no,yes,no
22,yes,yes,yes,yes
23,no,yes,yes,yes
24,no,yes,yes,yes
25,yes,no,yes,yes
26,yes,yes,yes,yes
27,yes,yes,yes,yes
28,no,yes,yes,yes
29,yes,yes,yes,yes
30,yes,yes,yes,yes
31,yes,yes,yes,yes
32,yes,yes,yes,yes
33,yes,yes,no,yes
34,no,yes,yes,no
35,yes,yes,yes,yes
36,no,yes,yes,yes
37,yes,yes,yes,yes
38,yes,yes,yes,yes
39,no,yes,yes,yes
40,yes,yes,yes,yes
41,yes,yes,yes,yes
42,no,no,no,yes
43,yes,yes,yes,yes
44,no,no,yes,yes
45,no,no,no,no
46,no,yes,yes,N/A
47,yes,yes,yes,yes
48,no,yes,no,yes
49,yes,yes,yes,yes
50,yes,yes,yes,yes
51,yes,yes,yes,yes
52,yes,yes,yes,yes
53,yes,yes,yes,yes
54,yes,yes,yes,yes
55,yes,yes,yes,no
56,no,yes,yes,yes
57,yes,yes,yes,yes
58,no,yes,yes,yes
59,no,yes,no,yes
60,yes,yes,yes,no
61,no,yes,yes,no
62,no,yes,yes,no
63,yes,yes,no,no
64,yes,yes,yes,yes
65,yes,yes,yes,yes
66,no,yes,no,yes
67,yes,yes,yes,yes
68,yes,yes,yes,yes
69,no,yes,no,yes
70,yes,yes,no,yes
71,yes,yes,yes,yes
72,yes,yes,yes,yes
73,no,yes,yes,yes
74,no,no,yes,yes
75,yes,yes,yes,yes
76,no,no,yes,yes
77,yes,yes,yes,yes
78,no,yes,no,yes
79,yes,yes,yes,no
80,no,yes,yes,no
81,no,yes,yes,yes
82,no,yes,yes,yes
83,yes,yes,yes,yes
84,yes,yes,yes,yes
85,no,yes,yes,no
86,yes,yes,yes,yes
87,no,yes,yes,yes
88,yes,yes,yes,yes
89,yes,no,yes,yes
90,no,yes,yes,yes
91,yes,yes,yes,yes
92,no,no,no,yes
93,yes,yes,yes,yes
94,yes,yes,yes,yes
95,yes,no,yes,yes
96,yes,yes,yes,yes
97,yes,yes,yes,no
98,no,yes,yes,yes
99,yes,yes,no,yes
