Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
0,yes,yes,yes,yes
1,yes,yes,yes,yes
2,yes,yes,yes,yes
3,yes,yes,yes,yes
4,yes,yes,yes,yes
5,yes,yes,yes,yes
6,yes,no,yes,yes
7,no,yes,yes,yes
8,yes,yes,yes,yes
9,yes,yes,yes,yes
10,yes,yes,yes,yes
11,yes,no,yes,yes
12,no,yes,yes,yes
13,no,no,yes,yes
14,yes,no,yes,yes
15,yes,yes,yes,yes
16,yes,yes,yes,yes
17,yes,yes,yes,yes
18,yes,yes,yes,yes
19,yes,yes,yes,yes
20,yes,yes,yes,yes
21,yes,yes,yes,yes
22,yes,no,yes,yes
23,yes,yes,yes,yes
24,yes,yes,no,no
25,yes,yes,yes,yes
26,yes,yes,yes,yes
27,no,yes,yes,yes
28,no,yes,yes,yes
29,yes,yes,yes,yes
30,yes,yes,yes,yes
31,yes,yes,yes,yes
32,yes,yes,yes,yes
33,no,no,yes,yes
34,yes,yes,yes,yes
35,yes,yes,yes,no
36,yes,yes,yes,yes
37,no,yes,yes,yes
38,yes,yes,yes,yes
39,yes,no,yes,yes
40,yes,yes,yes,yes
41,no,no,yes,yes
42,no,yes,yes,yes
43,yes,yes,yes,yes
44,yes,yes,yes,yes
45,yes,yes,yes,yes
46,no,yes,no,yes
47,yes,yes,yes,yes
48,no,yes,no,yes
49,yes,yes,yes,yes
50,yes,yes,yes,yes
51,no,yes,yes,yes
52,yes,yes,yes,yes
53,yes,yes,yes,yes
54,yes,yes,yes,yes
55,yes,yes,yes,yes
56,yes,yes,yes,yes
57,yes,yes,yes,yes
58,no,yes,yes,yes
59,N/A,yes,yes,no
60,yes,yes,yes,yes
61,yes,yes,yes,yes
62,no,yes,yes,yes
63,yes,yes,yes,yes
64,yes,yes,no,yes
65,yes,yes,yes,yes
66,no,no,yes,yes
67,no,yes,yes,yes
68,no,yes,no,yes
69,no,yes,yes,yes
70,yes,yes,yes,yes
71,yes,no,yes,yes
72,yes,yes,yes,yes
73,yes,yes,no,yes
74,no,no,yes,yes
75,yes,yes,yes,yes
76,yes,yes,yes,yes
77,yes,yes,yes,yes
78,no,yes,yes,yes
79,no,yes,no,yes
80,yes,no,yes,yes
81,no,yes,yes,yes
82,yes,yes,yes,yes
83,yes,yes,yes,yes
84,no,yes,yes,yes
85,yes,yes,yes,no
86,no,yes,yes,no
87,no,no,no,yes
88,yes,yes,yes,yes
89,no,yes,yes,yes
90,yes,yes,yes,yes
91,yes,yes,yes,yes
92,yes,yes,yes,yes
93,yes,yes,yes,yes
94,yes,no,no,yes
95,yes,no,yes,yes
96,no,yes,yes,no
97,no,yes,no,yes
98,yes,yes,yes,yes
99,yes,yes,yes,no
