Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,Approach the following question the way someone with a PhD in physics would.json,Approach the following question the way someone with a PhD in engineering would.json,Approach the following question the way someone with a PhD in computer science would.json,Approach the following question the way someone with a PhD in biology would.json,Approach the following question the way someone with a PhD in literature would.json,Approach the following question the way someone with a PhD in philosophy would.json
0,yes,yes,yes,yes,yes,yes,yes
1,yes,yes,yes,yes,yes,yes,yes
2,yes,yes,yes,yes,yes,yes,yes
3,yes,yes,yes,yes,yes,no,yes
4,yes,yes,yes,yes,yes,yes,yes
5,yes,yes,yes,yes,yes,no,yes
6,no,yes,yes,no,yes,yes,yes
7,yes,yes,yes,yes,yes,yes,yes
8,yes,yes,yes,yes,yes,yes,yes
9,yes,yes,yes,yes,yes,yes,no
10,yes,yes,yes,yes,yes,yes,yes
11,yes,yes,yes,yes,yes,yes,yes
12,yes,yes,yes,yes,no,yes,no
13,yes,yes,no,yes,yes,yes,yes
14,yes,yes,yes,no,yes,no,yes
15,yes,yes,yes,yes,yes,yes,yes
16,yes,yes,yes,yes,yes,yes,yes
17,yes,yes,yes,yes,yes,yes,yes
18,yes,yes,yes,yes,yes,yes,yes
19,yes,yes,yes,yes,yes,yes,yes
20,yes,yes,yes,yes,yes,no,yes
21,yes,yes,yes,yes,yes,yes,yes
22,yes,yes,yes,yes,no,yes,yes
23,yes,yes,yes,yes,yes,no,yes
24,yes,no,yes,yes,yes,no,no
25,yes,yes,yes,yes,yes,yes,yes
26,no,yes,no,no,no,no,yes
27,yes,yes,yes,yes,yes,yes,yes
28,yes,yes,yes,yes,yes,yes,yes
29,yes,yes,yes,yes,yes,yes,yes
30,yes,yes,yes,yes,yes,yes,yes
31,yes,yes,yes,yes,yes,yes,yes
32,yes,yes,yes,yes,yes,yes,no
33,yes,yes,yes,yes,yes,yes,yes
34,yes,yes,yes,yes,yes,yes,yes
35,no,yes,yes,yes,yes,yes,yes
36,yes,yes,yes,yes,yes,yes,yes
37,yes,yes,yes,yes,yes,yes,yes
38,yes,yes,yes,no,yes,yes,no
39,no,yes,yes,yes,yes,yes,yes
40,yes,yes,yes,no,yes,yes,yes
41,yes,yes,yes,yes,yes,yes,yes
42,yes,yes,yes,yes,yes,yes,yes
43,yes,yes,yes,yes,yes,yes,yes
44,yes,yes,yes,yes,yes,yes,yes
45,yes,yes,yes,yes,yes,yes,yes
46,yes,yes,yes,yes,yes,yes,yes
47,yes,yes,yes,yes,yes,yes,yes
48,yes,yes,yes,yes,yes,yes,yes
49,yes,yes,yes,yes,yes,yes,yes
50,yes,yes,yes,yes,yes,yes,yes
51,yes,yes,yes,yes,no,yes,yes
52,yes,yes,yes,yes,yes,yes,yes
53,yes,yes,yes,yes,yes,yes,yes
54,yes,yes,yes,yes,yes,yes,yes
55,no,yes,yes,yes,yes,yes,yes
56,no,yes,yes,yes,yes,yes,yes
57,yes,yes,yes,yes,yes,yes,yes
58,yes,yes,yes,yes,yes,yes,yes
59,yes,yes,yes,yes,yes,yes,yes
60,yes,yes,yes,yes,yes,yes,yes
61,yes,yes,yes,yes,yes,yes,yes
62,yes,yes,yes,yes,yes,yes,yes
63,yes,yes,yes,yes,yes,yes,yes
64,yes,yes,yes,yes,yes,no,yes
65,yes,yes,yes,yes,yes,yes,yes
66,yes,yes,yes,yes,yes,yes,yes
67,yes,no,yes,yes,yes,yes,yes
68,yes,yes,yes,yes,yes,yes,yes
69,yes,yes,yes,yes,yes,yes,yes
70,yes,yes,yes,yes,no,yes,yes
71,yes,no,yes,no,no,no,yes
72,yes,yes,yes,yes,yes,yes,yes
73,yes,yes,yes,yes,yes,yes,yes
74,yes,yes,yes,no,no,yes,no
75,yes,yes,yes,yes,yes,yes,no
76,yes,no,no,no,yes,yes,yes
77,yes,yes,yes,yes,yes,yes,yes
78,yes,yes,yes,yes,yes,yes,yes
79,yes,yes,no,no,yes,no,no
80,yes,yes,yes,yes,yes,yes,yes
81,yes,yes,yes,yes,yes,yes,yes
82,yes,yes,yes,yes,yes,yes,yes
83,yes,yes,yes,yes,yes,yes,yes
84,yes,no,yes,yes,no,yes,yes
85,no,yes,yes,yes,no,no,yes
86,yes,yes,yes,no,yes,yes,no
87,yes,yes,yes,yes,yes,no,yes
88,yes,no,yes,yes,yes,no,yes
89,yes,yes,yes,yes,yes,yes,yes
90,yes,yes,yes,yes,yes,no,no
91,yes,yes,yes,yes,yes,yes,yes
92,yes,yes,yes,yes,no,no,yes
93,yes,yes,no,yes,yes,yes,yes
94,yes,no,yes,yes,yes,yes,yes
95,yes,yes,yes,yes,yes,yes,yes
96,yes,yes,yes,yes,yes,no,yes
97,yes,yes,no,yes,no,yes,no
98,yes,yes,yes,yes,yes,yes,no
99,yes,no,no,yes,no,yes,yes
