Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
0,no,yes,yes,yes
1,no,yes,yes,yes
2,yes,no,no,yes
3,no,yes,yes,yes
4,no,yes,no,yes
5,yes,no,no,yes
6,yes,yes,yes,yes
7,no,yes,yes,yes
8,yes,yes,yes,yes
9,no,no,yes,yes
10,yes,yes,yes,yes
11,no,yes,yes,yes
12,no,no,yes,no
13,no,no,yes,yes
14,no,no,no,yes
15,no,yes,yes,yes
16,no,no,yes,no
17,no,yes,yes,no
18,no,no,no,yes
19,yes,yes,yes,yes
20,yes,yes,yes,yes
21,yes,yes,yes,yes
22,yes,yes,yes,yes
23,no,yes,no,yes
24,no,no,yes,no
25,yes,yes,yes,yes
26,no,no,no,yes
27,no,yes,yes,yes
28,no,no,yes,no
29,no,yes,yes,yes
30,no,yes,yes,yes
31,no,yes,yes,yes
32,yes,yes,yes,no
33,yes,yes,yes,yes
34,yes,yes,yes,yes
35,no,no,yes,no
36,yes,yes,yes,no
37,yes,yes,yes,yes
38,yes,yes,yes,yes
39,no,no,yes,yes
40,no,yes,yes,yes
41,no,no,yes,yes
42,no,yes,no,yes
43,no,no,yes,yes
44,yes,yes,yes,yes
45,yes,yes,yes,yes
46,no,yes,yes,yes
47,no,yes,yes,no
48,yes,yes,no,no
49,yes,yes,yes,yes
50,yes,no,yes,yes
51,yes,yes,yes,yes
52,yes,yes,yes,yes
53,yes,yes,yes,yes
54,yes,yes,yes,yes
55,yes,yes,yes,yes
56,no,yes,yes,yes
57,no,yes,yes,yes
58,yes,yes,yes,yes
59,no,no,yes,yes
60,yes,yes,yes,yes
61,yes,yes,yes,yes
62,yes,yes,yes,yes
63,yes,yes,yes,yes
64,yes,yes,yes,yes
65,yes,yes,yes,yes
66,no,no,yes,yes
67,no,no,yes,yes
68,no,yes,yes,no
69,yes,yes,yes,yes
70,no,yes,no,yes
71,yes,yes,yes,yes
72,yes,yes,yes,yes
73,no,yes,yes,no
74,yes,yes,yes,no
75,no,no,yes,yes
76,no,yes,yes,yes
77,no,yes,yes,yes
78,yes,yes,yes,yes
79,yes,yes,yes,no
80,no,yes,no,yes
81,no,no,yes,yes
82,yes,yes,yes,yes
83,yes,yes,yes,yes
84,no,yes,yes,yes
85,yes,yes,yes,yes
86,yes,yes,yes,yes
87,yes,yes,yes,yes
88,yes,yes,yes,yes
89,yes,yes,yes,yes
90,no,no,yes,yes
91,no,yes,yes,yes
92,yes,yes,yes,yes
93,yes,no,no,yes
94,no,no,yes,yes
95,no,yes,yes,yes
96,no,yes,yes,yes
97,no,yes,yes,no
98,no,yes,yes,yes
99,yes,yes,yes,no
100,yes,yes,yes,yes
101,yes,yes,yes,yes
