Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,Approach the following question the way someone with a PhD in physics would.json,Approach the following question the way someone with a PhD in engineering would.json,Approach the following question the way someone with a PhD in computer science would.json,Approach the following question the way someone with a PhD in biology would.json,Approach the following question the way someone with a PhD in literature would.json,Approach the following question the way someone with a PhD in philosophy would.json
0,yes,yes,yes,yes,yes,yes,yes
1,no,yes,yes,yes,yes,yes,yes
2,no,yes,no,yes,yes,no,yes
3,yes,yes,yes,yes,yes,no,yes
4,yes,no,yes,no,no,yes,yes
5,yes,yes,yes,yes,yes,yes,yes
6,yes,yes,yes,yes,yes,yes,yes
7,yes,yes,yes,yes,yes,yes,yes
8,yes,yes,yes,yes,yes,yes,yes
9,yes,yes,yes,yes,yes,yes,yes
10,yes,yes,yes,yes,yes,yes,yes
11,yes,yes,yes,yes,yes,no,yes
12,no,yes,no,no,no,no,no
13,yes,yes,no,yes,yes,no,yes
14,yes,yes,yes,yes,yes,no,yes
15,yes,yes,yes,yes,yes,yes,yes
16,no,yes,no,no,no,no,no
17,no,yes,yes,yes,yes,no,yes
18,yes,yes,no,no,yes,yes,no
19,yes,yes,yes,yes,yes,no,yes
20,yes,yes,yes,yes,yes,yes,yes
21,yes,yes,yes,yes,yes,yes,yes
22,yes,yes,no,yes,yes,yes,yes
23,no,yes,yes,yes,yes,yes,yes
24,no,no,no,no,no,no,yes
25,yes,yes,yes,yes,yes,yes,yes
26,yes,no,yes,no,yes,no,yes
27,yes,yes,yes,yes,yes,yes,yes
28,no,no,yes,yes,no,no,no
29,yes,yes,yes,yes,yes,yes,yes
30,yes,yes,yes,yes,yes,yes,yes
31,yes,yes,yes,yes,yes,no,no
32,yes,yes,no,yes,yes,no,yes
33,yes,yes,yes,yes,yes,yes,yes
34,yes,yes,yes,yes,yes,yes,yes
35,no,yes,no,yes,no,no,no
36,yes,no,yes,yes,yes,yes,yes
37,yes,yes,yes,yes,yes,yes,yes
38,yes,yes,yes,yes,yes,yes,yes
39,yes,yes,yes,yes,yes,yes,yes
40,yes,yes,yes,yes,yes,yes,yes
41,yes,yes,yes,no,yes,no,yes
42,yes,yes,yes,yes,yes,yes,yes
43,yes,yes,no,yes,yes,yes,yes
44,yes,yes,yes,yes,yes,yes,yes
45,yes,no,yes,no,no,no,no
46,yes,yes,yes,yes,yes,yes,yes
47,yes,yes,yes,yes,yes,yes,yes
48,yes,yes,yes,yes,no,no,yes
49,no,yes,no,no,yes,yes,yes
50,yes,yes,yes,yes,yes,yes,yes
51,yes,yes,yes,yes,yes,yes,yes
52,yes,yes,yes,yes,yes,yes,yes
53,yes,yes,yes,yes,yes,yes,yes
54,yes,yes,yes,yes,yes,no,yes
55,yes,yes,yes,yes,yes,yes,yes
56,yes,yes,yes,yes,yes,no,yes
57,yes,yes,yes,yes,yes,yes,yes
58,yes,yes,yes,yes,yes,yes,yes
59,yes,yes,yes,yes,yes,no,no
60,yes,yes,yes,yes,yes,yes,yes
61,yes,yes,yes,yes,yes,yes,yes
62,yes,yes,yes,yes,yes,yes,yes
63,yes,yes,yes,yes,yes,yes,yes
64,yes,yes,yes,yes,yes,yes,yes
65,yes,yes,yes,yes,yes,yes,yes
66,yes,yes,yes,yes,yes,yes,yes
67,yes,yes,yes,yes,yes,yes,yes
68,yes,yes,yes,no,no,no,yes
69,yes,yes,yes,yes,yes,yes,yes
70,yes,no,yes,yes,yes,yes,yes
71,yes,yes,no,no,no,no,no
72,yes,yes,yes,yes,yes,yes,yes
73,yes,yes,no,yes,yes,yes,no
74,yes,yes,yes,yes,yes,no,yes
75,yes,yes,yes,yes,yes,no,no
76,yes,yes,yes,yes,yes,yes,yes
77,yes,yes,yes,yes,yes,yes,yes
78,yes,yes,yes,yes,yes,yes,yes
79,yes,yes,yes,no,yes,yes,yes
80,no,yes,no,no,no,no,no
81,no,yes,yes,yes,no,no,no
82,yes,yes,yes,yes,yes,yes,yes
83,yes,yes,yes,yes,yes,yes,yes
84,yes,no,no,yes,yes,no,yes
85,yes,no,yes,no,yes,yes,yes
86,yes,yes,yes,no,yes,yes,yes
87,yes,yes,yes,yes,yes,yes,yes
88,yes,no,yes,no,yes,yes,yes
89,yes,yes,yes,yes,yes,yes,no
90,yes,yes,no,yes,yes,no,yes
91,yes,yes,yes,yes,yes,yes,yes
92,yes,yes,yes,yes,yes,yes,yes
93,yes,yes,yes,yes,yes,yes,yes
94,yes,yes,yes,yes,yes,no,no
95,yes,yes,yes,yes,yes,yes,yes
96,yes,yes,yes,yes,yes,yes,yes
97,yes,no,yes,no,no,no,no
98,yes,yes,yes,no,yes,yes,yes
99,yes,no,no,yes,no,yes,yes
100,yes,yes,yes,no,yes,yes,no
101,yes,yes,yes,yes,yes,yes,yes
