Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,Approach the following question the way someone with a PhD in physics would.json,Approach the following question the way someone with a PhD in engineering would.json,Approach the following question the way someone with a PhD in computer science would.json,Approach the following question the way someone with a PhD in biology would.json,Approach the following question the way someone with a PhD in literature would.json,Approach the following question the way someone with a PhD in philosophy would.json
0,yes,yes,yes,yes,yes,yes,yes
1,no,yes,no,yes,no,yes,no
2,yes,yes,yes,yes,yes,yes,no
3,yes,yes,yes,yes,yes,yes,yes
4,yes,yes,no,no,yes,yes,yes
5,yes,no,no,no,yes,no,no
6,yes,no,no,yes,no,yes,yes
7,yes,yes,yes,yes,yes,yes,yes
8,no,yes,yes,yes,yes,no,no
9,yes,yes,yes,no,yes,yes,yes
10,no,no,yes,yes,yes,yes,no
11,yes,no,no,no,no,no,no
12,no,no,no,no,no,no,no
13,yes,yes,yes,yes,yes,yes,no
14,no,no,no,yes,no,no,yes
15,yes,yes,no,yes,no,yes,yes
16,no,no,no,no,no,no,no
17,yes,yes,yes,yes,yes,yes,yes
18,no,yes,no,yes,yes,yes,no
19,yes,no,yes,no,yes,yes,yes
20,yes,yes,yes,yes,yes,yes,yes
21,no,no,no,no,no,no,no
22,yes,yes,no,yes,no,no,no
23,no,no,no,no,no,no,no
24,no,no,no,no,yes,yes,no
25,yes,yes,yes,yes,yes,no,no
26,no,yes,yes,yes,yes,yes,yes
27,yes,no,yes,yes,yes,no,yes
28,no,no,yes,yes,yes,no,no
29,yes,no,no,yes,no,yes,no
30,no,no,yes,no,no,yes,yes
31,no,no,yes,yes,no,yes,yes
32,yes,yes,yes,yes,yes,yes,yes
33,yes,yes,yes,no,no,yes,yes
34,no,yes,no,yes,no,no,yes
35,no,yes,yes,no,yes,yes,no
36,no,no,no,no,no,yes,no
37,yes,yes,no,no,no,yes,yes
38,no,no,yes,yes,yes,yes,no
39,yes,yes,no,yes,yes,yes,no
40,yes,no,no,yes,yes,yes,yes
41,yes,yes,yes,yes,yes,yes,yes
42,no,no,no,no,no,no,no
43,no,no,no,no,no,no,no
44,yes,no,yes,no,no,no,no
45,yes,yes,yes,yes,yes,yes,yes
46,no,yes,yes,no,no,yes,no
47,yes,yes,yes,yes,yes,no,yes
48,yes,yes,yes,yes,yes,yes,no
49,yes,yes,yes,yes,yes,yes,yes
50,no,yes,yes,yes,no,yes,yes
51,yes,no,no,yes,no,no,yes
52,no,no,no,yes,no,no,yes
53,no,no,no,no,no,no,yes
54,no,no,no,no,no,no,no
55,yes,yes,yes,yes,yes,yes,yes
56,yes,no,no,yes,no,yes,no
57,yes,no,yes,yes,yes,yes,no
58,yes,no,yes,no,no,yes,no
59,yes,yes,no,yes,no,yes,no
60,no,no,no,no,no,yes,no
61,yes,yes,no,no,no,no,yes
62,yes,yes,yes,yes,yes,yes,yes
63,yes,no,no,no,no,no,no
64,yes,yes,yes,yes,yes,yes,yes
65,yes,yes,no,yes,no,no,no
66,yes,no,no,yes,yes,no,no
67,yes,yes,yes,yes,yes,yes,yes
68,yes,yes,no,no,no,yes,yes
69,no,no,no,yes,yes,no,yes
70,no,yes,no,no,no,no,no
71,no,no,no,no,yes,no,yes
72,no,no,yes,no,yes,yes,no
73,no,no,no,yes,yes,yes,no
74,no,no,no,yes,no,yes,yes
75,no,no,no,no,no,no,no
76,yes,no,yes,yes,no,no,no
77,no,no,no,no,no,no,no
78,yes,yes,no,no,no,yes,no
79,yes,yes,yes,yes,yes,yes,yes
80,no,yes,no,yes,yes,yes,yes
81,no,no,no,no,no,no,no
82,yes,no,yes,yes,yes,no,yes
83,yes,yes,yes,yes,no,yes,no
84,no,no,no,no,yes,no,no
85,yes,yes,no,yes,no,yes,yes
86,yes,yes,no,yes,no,yes,yes
87,yes,yes,no,no,no,no,yes
88,yes,no,yes,no,no,yes,no
89,no,no,no,no,no,no,no
90,no,yes,no,yes,no,no,no
91,yes,no,yes,yes,yes,yes,no
92,yes,no,no,yes,no,no,no
93,yes,no,yes,no,no,yes,yes
94,no,no,no,yes,no,no,yes
95,no,no,yes,no,yes,no,no
96,no,no,no,no,no,no,no
97,yes,no,yes,yes,no,yes,no
98,no,yes,yes,yes,yes,no,no
99,yes,no,no,no,no,no,no
100,no,yes,yes,yes,yes,yes,yes
101,yes,yes,yes,yes,yes,yes,yes
102,no,no,yes,yes,no,no,no
103,no,no,no,no,no,no,no
104,yes,yes,yes,yes,yes,yes,no
105,no,no,no,no,no,no,no
106,no,no,no,no,no,yes,yes
107,yes,no,no,no,no,no,yes
108,no,no,no,no,no,no,no
109,yes,yes,yes,no,no,no,yes
110,yes,yes,no,no,yes,yes,no
111,yes,yes,yes,yes,yes,yes,yes
112,no,yes,yes,no,no,no,no
113,yes,yes,yes,yes,yes,yes,yes
114,yes,yes,yes,yes,yes,yes,yes
115,no,yes,yes,no,yes,no,no
116,yes,yes,yes,no,no,yes,yes
117,no,no,yes,yes,yes,yes,yes
118,yes,no,yes,no,no,yes,yes
119,no,no,no,yes,yes,yes,no
120,yes,yes,yes,yes,yes,yes,yes
121,no,no,no,no,no,no,no
122,no,no,no,yes,yes,yes,no
123,yes,yes,yes,yes,yes,yes,yes
124,no,no,no,no,no,no,no
125,yes,yes,yes,yes,no,yes,yes
126,no,no,no,no,no,no,no
127,no,yes,no,no,no,yes,yes
128,yes,yes,yes,yes,yes,no,no
129,yes,yes,yes,yes,yes,yes,yes
130,yes,yes,yes,yes,no,yes,yes
131,no,yes,yes,no,no,no,yes
132,yes,no,yes,yes,yes,yes,no
133,no,no,no,no,no,no,yes
134,yes,yes,yes,yes,yes,no,yes
135,yes,no,yes,yes,yes,no,no
136,yes,no,yes,yes,yes,no,yes
137,no,no,no,no,yes,yes,yes
138,yes,yes,no,no,no,yes,yes
139,yes,yes,no,no,yes,no,yes
140,yes,no,yes,yes,yes,yes,yes
141,yes,no,yes,no,no,no,no
142,no,yes,no,yes,no,yes,yes
143,no,no,yes,yes,no,yes,yes
144,no,no,yes,no,yes,yes,no
145,no,no,no,no,no,no,no
146,yes,yes,yes,yes,yes,yes,yes
147,no,no,no,no,no,no,no
148,no,no,yes,yes,no,yes,yes
149,no,yes,no,no,no,no,no
150,yes,yes,yes,yes,yes,no,yes
151,yes,yes,no,yes,yes,yes,yes
152,yes,yes,no,yes,yes,no,yes
153,no,no,yes,yes,yes,no,yes
154,yes,no,yes,no,no,no,yes
155,yes,no,yes,no,no,yes,yes
156,yes,yes,no,yes,no,no,yes
157,yes,yes,yes,yes,yes,no,yes
158,no,no,yes,yes,no,yes,yes
159,no,no,yes,no,no,no,yes
160,yes,yes,yes,no,no,no,no
161,yes,no,yes,no,no,yes,no
162,yes,yes,yes,no,yes,yes,yes
163,no,no,no,no,no,no,no
164,yes,yes,no,yes,yes,yes,no
165,yes,no,yes,no,yes,yes,yes
166,no,no,no,yes,no,no,yes
167,no,yes,yes,no,no,no,no
168,no,no,yes,no,no,yes,yes
169,no,no,no,yes,no,no,yes
170,yes,no,no,yes,yes,yes,yes
171,no,no,no,no,no,no,no
172,no,yes,yes,yes,yes,yes,yes
173,no,no,yes,no,yes,no,no
174,yes,yes,no,yes,no,no,no
175,yes,no,yes,yes,no,no,no
176,no,no,yes,no,no,no,no
177,yes,no,yes,no,yes,yes,no
178,yes,yes,yes,yes,no,no,no
179,yes,no,yes,yes,yes,no,no
180,yes,yes,yes,yes,no,yes,yes
181,no,no,no,yes,no,no,no
182,yes,no,yes,no,yes,yes,yes
183,no,no,yes,yes,no,yes,no
184,yes,yes,yes,yes,yes,yes,no
185,no,no,yes,yes,yes,no,no
186,no,no,yes,no,no,yes,no
187,yes,yes,yes,yes,yes,yes,yes
188,no,no,yes,no,no,no,no
189,yes,yes,yes,yes,yes,yes,yes
190,no,no,no,no,no,no,no
191,no,no,no,no,no,yes,no
192,yes,yes,yes,no,no,no,yes
193,yes,yes,yes,no,yes,no,no
194,yes,yes,yes,yes,no,yes,no
195,no,no,yes,no,no,no,no
196,no,no,no,no,no,no,no
197,no,no,no,no,no,yes,yes
198,no,yes,no,no,yes,yes,yes
199,no,no,yes,yes,yes,yes,yes
200,no,no,no,no,yes,no,yes
201,no,no,no,no,no,no,no
202,no,no,yes,yes,yes,yes,no
203,yes,no,no,yes,no,no,no
204,no,no,yes,no,no,no,no
205,yes,yes,no,no,yes,yes,yes
206,yes,yes,yes,no,yes,yes,yes
207,yes,yes,yes,yes,yes,yes,yes
208,yes,no,no,no,no,no,no
209,yes,yes,yes,yes,no,no,yes
210,yes,no,no,yes,yes,yes,yes
211,no,no,no,no,no,no,no
212,yes,no,no,yes,yes,yes,no
213,no,no,no,no,no,no,yes
214,yes,no,no,no,no,no,no
215,yes,no,yes,yes,yes,yes,yes
216,yes,yes,yes,yes,yes,yes,yes
217,yes,no,no,no,no,yes,no
218,yes,no,no,no,yes,no,yes
219,yes,yes,yes,yes,yes,yes,no
220,yes,no,no,no,no,no,no
221,yes,yes,yes,yes,no,yes,no
222,yes,yes,yes,yes,yes,yes,no
223,yes,no,no,yes,no,no,no
224,yes,yes,yes,yes,yes,yes,yes
225,yes,no,no,yes,no,no,no
226,no,no,no,no,no,no,no
227,yes,no,yes,yes,yes,yes,no
228,yes,yes,yes,yes,yes,yes,yes
229,no,no,yes,yes,yes,no,no
230,yes,yes,no,yes,no,yes,no
231,no,no,yes,yes,yes,yes,no
232,yes,no,yes,no,no,yes,no
233,yes,no,no,no,no,yes,yes
234,no,yes,no,yes,no,no,no
235,yes,yes,yes,yes,yes,yes,yes
236,yes,yes,yes,no,no,no,no
237,no,yes,yes,no,no,no,yes
238,yes,yes,yes,yes,yes,yes,no
239,yes,yes,yes,yes,yes,yes,yes
240,no,yes,no,yes,yes,yes,no
241,no,no,no,yes,yes,yes,no
242,yes,no,no,yes,no,yes,yes
243,no,yes,no,no,no,no,no
244,no,yes,yes,no,yes,no,yes
245,yes,no,yes,yes,yes,yes,yes
246,yes,yes,no,yes,no,yes,no
247,no,yes,yes,no,no,yes,yes
248,no,no,no,yes,no,no,no
249,yes,no,yes,yes,no,no,no
250,no,no,no,no,yes,no,yes
251,yes,no,yes,no,no,yes,yes
252,yes,yes,yes,yes,yes,no,yes
253,no,no,yes,no,no,yes,yes
254,yes,no,yes,yes,yes,yes,yes
255,yes,no,no,yes,yes,yes,yes
256,yes,no,yes,yes,no,no,yes
257,yes,no,no,no,no,no,no
258,no,yes,no,yes,yes,yes,no
259,no,no,no,no,no,no,no
260,no,yes,yes,no,yes,yes,yes
261,yes,no,no,no,no,yes,yes
262,no,no,yes,no,yes,yes,no
263,no,no,yes,no,yes,no,no
264,yes,no,yes,yes,no,no,yes
265,no,no,no,no,yes,yes,no
266,no,no,yes,no,yes,no,yes
267,no,no,no,no,no,no,no
268,no,no,yes,no,no,no,no
269,no,no,no,no,no,no,no
270,yes,no,yes,yes,no,yes,no
271,no,yes,yes,yes,yes,no,yes
272,no,no,no,yes,no,no,no
