Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,Approach the following question the way someone with a PhD in physics would.json,Approach the following question the way someone with a PhD in engineering would.json,Approach the following question the way someone with a PhD in computer science would.json,Approach the following question the way someone with a PhD in biology would.json,Approach the following question the way someone with a PhD in literature would.json,Approach the following question the way someone with a PhD in philosophy would.json
0,yes,yes,yes,yes,yes,yes,no
1,yes,yes,yes,no,yes,yes,yes
2,yes,yes,yes,yes,yes,yes,yes
3,no,yes,yes,yes,yes,no,no
4,yes,yes,yes,yes,yes,yes,yes
5,yes,no,no,yes,no,yes,no
6,yes,yes,yes,yes,yes,yes,yes
7,no,yes,yes,no,yes,no,no
8,yes,yes,yes,yes,yes,yes,yes
9,no,yes,yes,yes,yes,yes,yes
10,yes,yes,no,no,yes,yes,yes
11,yes,yes,yes,yes,yes,yes,yes
12,yes,yes,yes,yes,yes,yes,yes
13,yes,yes,yes,yes,yes,no,yes
14,yes,no,yes,yes,yes,yes,no
15,yes,no,no,yes,no,yes,yes
16,yes,yes,yes,yes,yes,yes,yes
17,yes,yes,yes,yes,yes,yes,yes
18,yes,no,yes,yes,yes,yes,yes
19,yes,yes,no,no,no,yes,yes
20,yes,yes,yes,yes,yes,yes,yes
21,yes,yes,yes,yes,yes,yes,yes
22,no,yes,yes,no,yes,yes,yes
23,yes,yes,yes,yes,yes,yes,yes
24,yes,yes,yes,yes,no,no,yes
25,yes,yes,yes,yes,yes,yes,yes
26,yes,yes,yes,yes,no,no,no
27,yes,yes,yes,yes,yes,yes,yes
28,yes,no,yes,yes,no,yes,yes
29,yes,yes,yes,yes,yes,yes,yes
30,yes,yes,no,yes,yes,no,no
31,yes,yes,yes,yes,yes,yes,yes
32,yes,yes,yes,yes,yes,yes,yes
33,yes,yes,yes,yes,yes,yes,yes
34,no,yes,yes,yes,yes,no,no
35,yes,yes,yes,yes,yes,yes,yes
36,yes,yes,yes,yes,yes,yes,yes
37,no,yes,yes,yes,yes,yes,yes
38,yes,yes,yes,yes,yes,yes,yes
39,yes,yes,no,no,yes,yes,yes
40,yes,no,yes,yes,yes,yes,yes
41,yes,yes,yes,yes,yes,yes,yes
42,yes,no,yes,yes,yes,yes,no
43,yes,yes,yes,no,no,no,no
44,yes,no,yes,yes,yes,yes,yes
45,no,no,yes,yes,yes,no,no
46,no,no,no,no,no,no,no
47,yes,yes,yes,yes,yes,yes,yes
48,no,no,no,yes,no,no,no
49,yes,yes,yes,yes,yes,yes,yes
50,yes,yes,yes,yes,no,yes,yes
51,yes,yes,yes,yes,yes,yes,yes
52,yes,yes,yes,yes,yes,yes,yes
53,no,no,yes,yes,yes,yes,yes
54,yes,yes,yes,yes,yes,yes,yes
55,yes,yes,yes,no,yes,no,yes
56,yes,yes,no,no,no,no,no
57,yes,yes,yes,yes,yes,yes,yes
58,yes,no,yes,yes,yes,no,yes
59,yes,no,yes,yes,yes,no,yes
60,yes,yes,yes,no,yes,yes,yes
61,yes,no,no,yes,no,no,yes
62,yes,yes,no,no,yes,yes,no
63,no,no,yes,yes,no,yes,no
64,yes,yes,yes,yes,yes,yes,yes
65,no,no,yes,no,yes,yes,no
66,yes,yes,yes,no,no,no,yes
67,yes,yes,yes,yes,yes,yes,yes
68,yes,yes,yes,yes,yes,yes,yes
69,yes,yes,yes,yes,no,yes,yes
70,no,no,yes,yes,no,yes,no
71,yes,yes,yes,yes,yes,yes,yes
72,yes,yes,yes,yes,yes,yes,yes
73,yes,yes,yes,yes,yes,yes,yes
74,yes,yes,no,no,no,no,no
75,yes,no,no,yes,no,no,no
76,yes,yes,yes,yes,yes,yes,yes
77,yes,yes,yes,yes,yes,yes,yes
78,yes,yes,yes,yes,yes,yes,yes
79,no,yes,yes,no,yes,yes,yes
80,no,no,no,yes,yes,no,no
81,yes,no,yes,no,yes,yes,no
82,yes,yes,yes,yes,yes,yes,yes
83,yes,yes,yes,no,no,no,yes
84,yes,yes,yes,yes,yes,no,yes
85,yes,yes,yes,yes,yes,yes,yes
86,yes,yes,no,yes,yes,no,yes
87,yes,yes,yes,yes,yes,yes,yes
88,yes,yes,yes,yes,yes,yes,yes
89,yes,N/A,yes,yes,yes,no,no
90,yes,yes,no,yes,no,yes,yes
91,yes,yes,yes,yes,yes,yes,yes
92,yes,yes,yes,yes,yes,no,no
93,yes,yes,yes,yes,no,yes,yes
94,yes,yes,yes,yes,yes,no,no
95,no,yes,no,yes,yes,no,yes
96,yes,yes,yes,yes,yes,yes,yes
97,yes,yes,yes,yes,yes,yes,yes
98,yes,yes,yes,yes,yes,yes,yes
99,no,no,yes,no,no,no,no
