Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
12,yes,yes,yes,yes
15,no,yes,yes,yes
21,no,yes,no,no
29,no,yes,no,yes
40,no,no,no,no
49,yes,no,no,no
52,no,no,no,no
60,no,no,yes,yes
67,no,no,yes,yes
70,no,yes,yes,no
75,no,yes,no,yes
76,no,no,no,no
81,no,yes,no,no
83,no,no,no,yes
91,no,no,no,no
92,no,yes,yes,no
98,no,no,yes,no
112,yes,yes,yes,yes
125,no,no,no,no
129,no,no,no,no
163,yes,no,no,no
165,no,yes,yes,yes
183,no,no,yes,no
194,no,no,yes,no
198,yes,yes,yes,yes
222,yes,yes,no,no
224,no,yes,no,yes
225,yes,yes,yes,yes
227,yes,yes,yes,yes
235,no,yes,no,no
239,yes,yes,yes,yes
241,no,no,no,no
248,yes,no,no,no
252,no,no,yes,yes
253,yes,yes,yes,no
256,no,no,no,no
257,no,yes,no,yes
268,no,no,no,no
273,no,no,no,yes
285,no,no,no,no
308,no,yes,yes,yes
310,no,yes,yes,yes
311,no,no,no,no
320,no,no,no,yes
322,no,no,no,no
335,no,no,no,no
336,no,no,no,no
340,no,no,no,yes
344,yes,yes,yes,no
345,yes,yes,no,no
350,no,no,no,no
360,yes,no,yes,yes
363,no,yes,no,no
370,no,no,no,yes
372,no,no,yes,no
376,yes,yes,no,no
379,no,yes,no,no
380,yes,yes,no,no
382,no,yes,no,no
411,no,no,yes,no
420,no,no,no,no
421,no,no,no,no
447,no,yes,yes,yes
448,yes,no,no,yes
457,no,no,yes,no
458,no,no,no,yes
459,no,yes,yes,no
468,no,yes,no,yes
469,yes,yes,yes,no
471,no,no,yes,no
493,no,yes,no,no
500,yes,no,no,no
502,no,no,yes,no
511,yes,yes,no,no
515,yes,no,yes,yes
534,yes,yes,no,yes
538,yes,no,no,yes
550,no,yes,no,yes
558,no,no,no,no
562,no,yes,yes,yes
567,no,no,yes,no
574,yes,no,no,yes
578,no,no,yes,no
591,yes,yes,yes,yes
610,no,no,no,no
613,no,no,no,yes
615,no,no,no,no
618,no,no,no,yes
629,yes,yes,yes,yes
638,no,yes,yes,yes
643,no,no,yes,yes
646,no,no,yes,yes
647,yes,yes,no,yes
665,yes,yes,yes,yes
668,no,no,yes,no
691,no,no,yes,no
693,no,yes,yes,yes
698,no,no,yes,yes
701,no,yes,yes,no
702,no,no,no,no
715,no,no,no,yes
719,no,yes,no,no
734,yes,no,no,no
738,no,no,no,yes
750,yes,yes,yes,no
772,no,no,no,no
775,yes,yes,yes,yes
786,no,no,yes,no
791,no,no,no,no
800,no,no,no,no
812,no,yes,yes,yes
817,no,no,no,no
818,yes,yes,yes,yes
819,yes,no,no,yes
820,yes,no,no,yes
822,no,no,no,no
826,no,yes,yes,yes
830,no,no,no,yes
832,no,yes,yes,no
836,yes,yes,no,yes
842,no,yes,yes,yes
848,no,no,no,no
854,yes,no,yes,no
856,yes,no,yes,no
879,no,no,no,no
881,yes,yes,yes,no
882,no,yes,no,no
888,no,no,yes,no
895,yes,no,no,yes
906,yes,yes,yes,yes
912,no,yes,no,no
926,no,no,no,no
928,no,no,yes,no
929,no,no,yes,no
931,no,no,yes,yes
937,no,yes,yes,yes
945,yes,yes,no,no
947,no,no,yes,no
954,no,no,no,no
958,yes,yes,yes,yes
961,yes,yes,yes,yes
979,yes,no,yes,no
995,yes,yes,yes,no
1001,no,no,no,no
1011,yes,yes,yes,no
1017,yes,no,no,no
1024,no,yes,yes,yes
1030,no,no,yes,yes
1031,no,no,no,no
1037,yes,yes,yes,yes
1045,yes,yes,yes,no
1054,yes,yes,no,yes
1063,no,yes,no,no
1068,yes,yes,yes,yes
1080,no,yes,yes,yes
1085,no,no,yes,yes
1086,no,no,yes,no
1099,no,no,no,yes
1101,no,yes,yes,no
1121,no,no,no,no
