Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
10,no,yes,no,no
11,no,no,yes,yes
18,yes,yes,yes,yes
27,yes,no,no,yes
28,yes,yes,yes,yes
31,no,no,no,no
39,no,yes,yes,yes
53,no,yes,yes,yes
58,yes,no,yes,no
87,no,yes,yes,yes
94,no,no,no,yes
96,yes,yes,yes,no
97,yes,yes,yes,yes
106,no,no,no,no
108,no,no,yes,no
113,yes,yes,no,no
144,yes,yes,no,yes
145,no,yes,yes,yes
147,no,yes,no,no
165,no,yes,yes,yes
171,no,yes,yes,yes
172,no,yes,yes,yes
177,yes,yes,yes,yes
184,yes,yes,yes,yes
190,yes,yes,yes,yes
194,no,yes,yes,no
199,no,yes,yes,yes
201,yes,yes,yes,yes
218,yes,yes,no,yes
251,yes,yes,yes,yes
253,yes,yes,yes,yes
259,yes,no,no,yes
262,yes,yes,yes,yes
294,yes,yes,yes,yes
297,no,no,yes,yes
298,yes,yes,yes,no
302,no,yes,no,no
304,no,yes,no,yes
306,yes,no,no,no
309,no,yes,yes,no
315,yes,yes,yes,yes
316,no,no,no,yes
323,yes,no,no,yes
337,no,no,no,no
350,yes,yes,yes,yes
356,no,yes,yes,yes
360,no,no,yes,yes
363,no,yes,yes,yes
367,no,no,yes,yes
385,no,yes,yes,yes
389,no,no,yes,no
393,yes,yes,yes,no
395,yes,yes,yes,yes
398,no,no,no,no
408,yes,yes,yes,yes
409,yes,yes,yes,yes
411,no,no,no,yes
415,no,no,yes,no
416,yes,no,no,no
422,yes,no,yes,yes
428,no,yes,no,yes
429,no,yes,no,yes
432,yes,no,yes,no
449,no,no,no,no
460,no,yes,yes,yes
469,no,no,yes,yes
470,no,no,yes,yes
473,yes,yes,no,no
476,yes,yes,yes,yes
477,no,no,no,yes
482,yes,no,yes,yes
498,no,no,yes,yes
506,yes,no,yes,yes
510,yes,yes,yes,yes
512,no,yes,yes,no
537,yes,yes,no,yes
540,no,no,no,yes
549,yes,yes,no,yes
553,yes,no,no,yes
555,no,yes,yes,no
561,no,no,yes,no
564,no,no,no,yes
565,yes,yes,yes,yes
581,no,yes,no,no
592,yes,no,no,no
595,yes,yes,yes,no
607,yes,yes,yes,yes
608,no,no,no,no
615,yes,yes,yes,yes
620,no,yes,yes,no
625,yes,no,yes,yes
630,yes,yes,yes,yes
633,no,no,no,no
650,yes,yes,yes,yes
652,yes,yes,no,yes
656,yes,yes,yes,yes
659,yes,yes,no,no
676,yes,no,yes,yes
680,no,no,no,yes
689,yes,no,no,yes
700,yes,no,yes,yes
701,no,no,no,no
703,N/A,N/A,no,yes
707,yes,no,yes,yes
716,yes,yes,yes,yes
731,no,yes,no,no
734,yes,no,no,yes
745,yes,no,yes,yes
746,no,yes,yes,yes
766,no,yes,yes,yes
777,no,yes,yes,yes
781,yes,yes,yes,yes
788,yes,yes,yes,yes
792,no,yes,yes,yes
793,no,no,no,no
803,no,yes,yes,no
804,no,yes,yes,no
809,yes,yes,yes,yes
811,no,no,no,yes
812,no,yes,yes,no
816,yes,yes,yes,yes
830,yes,no,yes,yes
831,yes,yes,yes,yes
835,yes,no,no,no
836,no,no,yes,yes
845,yes,yes,yes,yes
852,no,yes,yes,yes
857,no,no,yes,no
859,no,yes,yes,no
872,yes,yes,yes,yes
873,no,no,yes,yes
877,yes,no,no,no
886,no,yes,yes,yes
891,yes,no,no,yes
894,no,yes,no,yes
897,no,no,no,yes
915,no,no,yes,yes
917,yes,yes,yes,yes
923,yes,yes,no,no
933,no,yes,yes,no
934,yes,yes,yes,yes
940,yes,no,yes,yes
950,no,no,no,yes
952,no,no,yes,yes
953,yes,yes,yes,yes
956,yes,yes,yes,no
959,yes,no,no,yes
962,yes,yes,yes,yes
963,no,no,yes,no
966,yes,no,yes,yes
986,no,no,yes,no
1030,yes,yes,no,no
1037,yes,no,yes,no
1047,no,no,no,no
1048,yes,yes,yes,yes
1050,no,yes,yes,yes
1053,yes,yes,yes,yes
1059,no,no,no,yes
1076,yes,yes,no,no
1087,no,no,no,yes
1108,yes,no,no,yes
1110,yes,yes,yes,yes
1112,yes,yes,no,yes
1126,yes,yes,yes,yes
1130,no,no,no,yes
1131,yes,yes,yes,yes
1138,yes,yes,yes,yes
1149,no,no,no,yes
1152,yes,yes,no,yes
1177,yes,yes,yes,yes
1184,no,yes,yes,yes
1188,no,yes,no,no
1190,yes,yes,yes,yes
1200,no,yes,yes,yes
1206,no,no,yes,yes
1209,yes,yes,no,yes
1212,no,no,yes,yes
1245,no,yes,yes,yes
1246,no,no,no,no
1250,no,no,yes,no
1251,no,no,no,yes
1264,yes,yes,yes,yes
1265,yes,yes,yes,yes
1268,yes,yes,yes,yes
1272,yes,no,yes,yes
1293,yes,yes,yes,yes
25601,no,no,no,yes
