Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,Approach the following question the way someone with a PhD in physics would.json,Approach the following question the way someone with a PhD in engineering would.json,Approach the following question the way someone with a PhD in computer science would.json,Approach the following question the way someone with a PhD in biology would.json,Approach the following question the way someone with a PhD in literature would.json,Approach the following question the way someone with a PhD in philosophy would.json
1,no,no,no,no,no,no,no
2,no,yes,no,yes,no,no,no
3,yes,yes,yes,no,no,no,yes
4,yes,yes,no,no,no,no,no
5,no,yes,no,yes,yes,no,no
6,yes,no,no,no,no,no,no
7,no,no,no,no,no,no,no
8,no,no,no,no,no,no,no
9,no,no,no,no,yes,yes,no
10,yes,yes,yes,yes,yes,yes,yes
11,yes,no,no,no,no,yes,no
12,no,no,yes,no,no,no,no
13,yes,yes,yes,yes,yes,no,no
14,yes,yes,no,yes,yes,yes,yes
15,no,no,yes,no,no,yes,no
16,yes,yes,yes,yes,yes,yes,no
17,no,yes,yes,yes,no,no,no
18,no,no,no,no,no,no,no
19,no,yes,no,no,no,no,no
20,no,no,no,no,no,no,no
21,no,no,yes,no,no,no,no
22,yes,no,no,yes,yes,no,no
23,no,no,no,no,no,no,no
24,yes,yes,no,yes,yes,no,no
25,yes,no,no,no,no,no,no
26,no,yes,yes,no,no,no,no
27,yes,yes,yes,no,yes,yes,yes
28,no,no,no,no,no,no,no
29,no,no,no,no,no,no,no
30,yes,yes,no,yes,yes,no,yes
31,yes,yes,yes,no,no,no,yes
32,yes,yes,yes,yes,yes,yes,yes
33,yes,yes,no,yes,yes,yes,yes
34,no,yes,no,yes,yes,yes,no
35,no,no,no,no,no,no,no
36,no,no,no,no,no,no,no
37,yes,yes,no,no,no,no,no
38,no,no,no,yes,no,no,no
39,no,no,no,yes,no,no,no
40,no,no,no,no,no,no,no
41,no,no,no,no,no,no,no
42,no,yes,no,no,no,no,no
43,no,no,no,no,no,no,no
44,no,no,no,no,no,no,no
45,no,no,no,no,no,no,no
46,yes,no,yes,no,yes,yes,yes
47,no,no,no,yes,yes,no,yes
48,no,no,yes,no,no,no,no
49,yes,yes,yes,no,no,no,yes
50,yes,yes,yes,no,yes,yes,no
51,no,no,no,no,no,no,no
52,N/A,no,no,no,no,no,no
53,no,no,no,no,no,no,no
54,yes,yes,yes,no,yes,no,no
55,no,no,no,no,no,no,no
56,no,yes,no,yes,no,yes,yes
57,no,no,yes,no,yes,no,no
58,no,no,no,no,no,no,no
59,no,no,no,no,yes,no,no
60,no,no,no,no,no,no,no
61,yes,yes,yes,yes,yes,yes,no
62,no,no,no,no,no,no,no
63,no,yes,no,yes,no,yes,yes
64,no,yes,no,no,no,yes,no
65,no,no,no,no,no,no,no
66,yes,yes,yes,yes,yes,yes,no
67,yes,yes,yes,yes,yes,yes,no
68,yes,yes,no,no,no,no,no
69,yes,yes,no,no,yes,yes,yes
70,no,no,yes,no,no,no,no
71,no,yes,no,no,no,no,no
72,no,yes,no,no,no,no,no
73,no,no,no,no,no,no,no
74,yes,yes,no,no,no,yes,no
75,no,no,yes,no,no,no,no
76,no,no,no,yes,no,yes,no
77,no,yes,yes,yes,no,no,no
78,yes,no,no,no,no,no,yes
79,no,no,yes,no,no,no,no
80,yes,yes,yes,yes,yes,no,no
81,no,no,no,no,no,no,no
82,no,no,yes,no,no,no,no
83,yes,no,yes,no,no,no,no
84,yes,yes,no,yes,no,yes,yes
85,no,yes,yes,no,no,yes,no
86,no,no,no,no,no,no,no
87,no,no,no,no,no,no,no
88,no,no,no,no,no,yes,no
89,no,no,no,no,no,no,no
90,yes,yes,yes,yes,no,yes,no
91,no,no,no,no,no,no,no
92,no,no,yes,yes,yes,yes,yes
93,no,no,no,no,no,yes,no
94,no,no,no,no,no,no,no
95,yes,yes,yes,yes,no,yes,no
96,no,no,no,no,no,no,no
97,no,yes,yes,yes,yes,yes,yes
98,no,no,no,no,no,no,yes
99,yes,yes,yes,no,yes,yes,no
100,no,no,no,no,no,no,no
101,no,yes,no,no,no,no,no
102,yes,no,no,yes,no,yes,yes
103,no,yes,no,no,yes,no,yes
104,no,yes,no,yes,no,no,yes
105,yes,yes,yes,yes,yes,yes,no
106,no,no,yes,no,no,no,no
107,no,no,no,no,no,no,no
108,no,no,no,no,no,no,no
109,no,no,yes,no,yes,no,yes
110,no,no,no,no,no,no,no
111,no,no,yes,yes,no,no,no
112,yes,yes,yes,yes,yes,yes,yes
113,no,no,no,no,no,no,no
114,no,no,yes,no,no,no,no
115,no,yes,yes,yes,no,yes,yes
116,no,no,no,no,yes,no,no
117,no,yes,no,no,no,yes,yes
118,yes,no,yes,no,yes,yes,no
119,yes,yes,no,yes,yes,no,yes
120,no,yes,yes,no,no,no,no
121,no,no,no,no,no,yes,no
122,yes,yes,yes,yes,yes,no,yes
123,yes,yes,yes,yes,yes,yes,yes
124,no,no,no,no,no,no,no
125,no,no,no,no,no,no,no
126,no,yes,yes,yes,yes,yes,yes
127,no,no,yes,no,no,no,no
128,no,no,no,no,no,no,no
129,no,no,no,no,no,no,no
130,no,no,no,no,no,no,no
131,yes,no,no,no,no,no,yes
132,yes,yes,yes,yes,yes,yes,yes
133,no,yes,yes,no,no,yes,yes
134,no,yes,no,no,no,no,no
135,no,no,no,no,no,no,no
136,no,no,no,no,no,no,no
137,yes,no,yes,yes,yes,yes,no
138,yes,no,no,no,yes,no,no
139,no,no,no,no,no,no,no
140,no,no,no,no,no,no,yes
141,no,no,no,yes,no,no,no
142,no,no,no,no,no,no,no
143,yes,no,no,yes,no,yes,no
144,no,yes,no,no,yes,no,yes
145,no,no,no,no,no,no,no
146,yes,no,yes,no,yes,no,no
147,no,no,no,no,no,no,no
148,yes,yes,no,no,no,yes,yes
149,yes,no,yes,no,yes,yes,no
150,yes,yes,yes,yes,yes,yes,yes
151,no,no,no,no,yes,no,no
152,yes,yes,yes,yes,yes,yes,yes
153,no,no,yes,no,yes,yes,no
154,no,no,no,no,no,yes,no
155,yes,no,no,yes,yes,yes,yes
156,no,yes,yes,no,yes,yes,yes
157,yes,no,no,no,no,no,no
158,yes,no,yes,no,no,no,no
159,no,no,no,no,no,no,no
160,no,no,no,no,no,no,no
161,no,yes,no,no,yes,no,no
162,no,no,no,no,no,yes,no
163,no,no,no,no,no,yes,yes
164,no,yes,yes,yes,no,no,no
165,no,no,no,no,no,no,no
166,no,no,no,no,yes,no,no
167,no,no,no,no,no,no,yes
168,yes,no,no,no,no,no,no
169,yes,yes,yes,yes,yes,no,no
170,yes,yes,yes,no,no,no,no
171,no,no,no,no,no,no,no
172,yes,no,no,yes,no,no,no
173,yes,no,no,yes,no,no,no
174,yes,no,no,no,no,no,no
175,no,no,no,no,no,no,no
176,yes,yes,yes,yes,yes,yes,yes
177,no,no,no,no,no,no,no
178,no,no,no,no,no,no,no
179,no,no,no,no,no,no,no
180,yes,no,yes,yes,no,yes,no
181,yes,yes,yes,yes,no,yes,no
182,no,no,no,no,no,no,no
183,no,no,no,no,no,no,no
184,yes,yes,no,yes,yes,yes,yes
185,no,no,no,yes,no,no,no
186,yes,yes,no,yes,yes,no,no
187,no,no,yes,no,no,no,no
188,yes,yes,yes,yes,yes,yes,no
189,yes,yes,yes,yes,yes,yes,yes
190,yes,yes,no,no,no,yes,no
191,no,no,no,no,no,no,no
192,yes,yes,no,no,no,no,no
193,no,yes,no,no,no,no,no
194,yes,no,no,yes,yes,no,no
195,no,no,no,no,no,no,no
196,yes,no,no,yes,no,no,yes
197,no,yes,yes,no,yes,no,no
198,no,no,no,no,no,yes,no
199,no,no,no,no,no,no,no
200,yes,no,no,no,no,no,no
201,no,no,yes,no,no,no,no
202,yes,yes,no,yes,no,yes,no
203,no,no,no,no,no,no,yes
204,yes,yes,yes,no,yes,yes,yes
205,yes,no,yes,no,yes,no,no
206,no,yes,no,yes,yes,no,no
207,no,no,no,no,no,no,no
208,no,no,no,no,no,no,no
209,yes,no,no,yes,no,no,no
210,no,yes,yes,yes,yes,no,yes
211,no,no,no,yes,yes,no,yes
212,no,no,no,no,no,no,no
213,no,no,no,no,no,no,no
214,no,no,no,no,no,no,no
215,no,no,yes,no,no,no,no
216,no,no,no,no,no,no,no
217,no,no,no,no,yes,no,no
218,no,no,no,no,no,no,no
219,no,yes,no,yes,no,no,yes
220,no,yes,yes,no,no,no,yes
221,no,N/A,N/A,N/A,N/A,N/A,N/A
