Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,Approach the following question the way someone with a PhD in physics would.json,Approach the following question the way someone with a PhD in engineering would.json,Approach the following question the way someone with a PhD in computer science would.json,Approach the following question the way someone with a PhD in biology would.json,Approach the following question the way someone with a PhD in literature would.json,Approach the following question the way someone with a PhD in philosophy would.json
1,no,no,yes,yes,yes,yes,no
2,no,no,yes,yes,yes,yes,yes
3,yes,yes,no,no,no,yes,no
4,yes,yes,yes,no,yes,yes,yes
5,yes,yes,yes,yes,yes,yes,yes
6,yes,yes,yes,yes,yes,yes,yes
7,yes,no,no,yes,yes,yes,yes
8,yes,yes,yes,no,no,yes,no
9,yes,no,yes,yes,yes,no,no
10,yes,no,yes,yes,yes,no,yes
11,no,no,no,no,no,no,no
12,no,no,no,no,no,no,no
13,no,no,no,yes,no,no,no
14,no,no,no,no,no,no,no
15,no,no,no,no,no,no,no
16,no,yes,no,no,no,no,no
17,no,no,no,no,yes,no,no
18,no,no,no,no,no,no,no
19,no,no,no,no,no,no,no
20,no,no,no,no,no,no,no
21,yes,no,no,no,no,no,yes
22,no,yes,yes,yes,no,no,yes
23,yes,no,yes,yes,no,no,yes
24,no,yes,yes,no,no,yes,yes
25,no,no,yes,yes,yes,no,no
26,no,yes,no,no,no,yes,no
27,no,yes,no,yes,yes,no,yes
28,yes,yes,yes,no,no,no,no
29,yes,yes,yes,no,no,no,yes
30,yes,yes,yes,no,yes,no,yes
31,yes,no,no,no,no,no,no
32,no,no,no,no,no,no,no
33,yes,no,no,yes,yes,no,yes
34,yes,yes,no,yes,no,no,yes
35,no,no,no,yes,yes,no,no
36,no,no,no,no,no,no,no
37,no,yes,no,no,no,no,no
38,no,no,no,no,no,no,no
39,no,yes,no,yes,no,no,no
40,no,no,yes,yes,no,no,yes
41,yes,no,no,yes,no,no,no
42,no,no,no,no,no,no,no
43,no,no,yes,no,no,no,no
44,no,no,yes,no,no,yes,no
45,no,yes,no,yes,yes,no,no
46,no,no,no,yes,no,no,no
47,no,no,yes,no,no,yes,no
48,no,no,no,yes,no,yes,no
49,no,no,no,yes,no,no,no
50,no,no,no,no,no,no,no
51,no,no,no,no,no,yes,no
52,no,no,no,yes,no,no,no
53,no,no,no,no,no,no,no
54,no,no,yes,no,yes,no,no
55,no,no,no,yes,no,no,yes
56,no,no,no,no,no,no,yes
57,no,yes,no,no,no,yes,no
58,no,no,no,yes,yes,no,no
59,no,no,yes,no,no,no,no
60,no,no,no,no,no,no,no
61,yes,yes,no,yes,yes,yes,yes
62,yes,yes,no,yes,yes,yes,yes
63,yes,no,no,no,no,yes,yes
64,yes,no,yes,yes,yes,yes,no
65,no,yes,yes,yes,yes,yes,yes
66,no,yes,yes,yes,yes,yes,yes
67,yes,yes,yes,yes,yes,yes,yes
68,yes,yes,yes,yes,yes,yes,yes
69,yes,yes,yes,yes,yes,yes,yes
70,no,yes,yes,yes,yes,yes,yes
71,no,no,no,no,yes,no,no
72,no,no,yes,yes,yes,no,yes
73,no,no,no,no,no,no,no
74,no,no,no,no,no,no,no
75,yes,no,yes,no,yes,no,no
76,no,no,no,no,yes,no,no
77,yes,no,no,no,no,no,yes
78,no,no,no,no,no,no,no
79,no,no,no,no,no,no,no
80,yes,yes,yes,yes,no,no,no
81,yes,no,yes,yes,no,yes,yes
82,no,no,yes,no,no,no,yes
83,no,no,no,no,yes,yes,no
84,no,no,no,no,no,yes,yes
85,no,no,yes,no,no,no,no
86,no,no,yes,no,no,no,no
87,no,no,no,no,no,no,no
88,no,yes,no,no,no,no,no
89,no,yes,yes,yes,no,no,no
90,no,no,no,no,yes,yes,no
91,no,no,yes,yes,no,yes,no
92,no,no,no,no,no,no,yes
93,no,no,no,no,yes,no,no
94,no,no,yes,no,no,no,no
95,no,no,no,no,no,no,yes
96,no,yes,no,no,yes,no,no
97,no,no,no,no,no,no,no
98,no,no,no,no,no,no,yes
99,no,no,no,no,no,no,no
100,no,no,no,yes,yes,no,no
101,yes,yes,no,no,yes,no,no
102,no,no,yes,no,no,yes,no
103,no,yes,no,no,yes,yes,yes
104,no,yes,no,no,no,no,no
105,yes,no,no,no,yes,yes,no
106,no,yes,no,no,no,no,yes
107,yes,yes,no,yes,no,no,no
108,no,no,no,yes,no,no,yes
109,no,yes,yes,no,no,yes,yes
110,no,no,no,yes,no,no,no
111,yes,yes,no,no,no,no,no
112,no,no,no,no,no,no,no
113,no,no,no,no,no,yes,no
114,no,no,yes,no,no,no,yes
115,no,no,no,no,no,no,no
116,no,no,no,no,no,no,no
117,no,no,no,no,no,no,yes
118,no,no,no,no,no,no,no
119,no,yes,no,no,no,no,no
120,no,no,no,no,no,no,yes
121,yes,yes,yes,yes,no,yes,yes
122,yes,yes,no,no,no,yes,yes
123,yes,yes,yes,yes,yes,yes,yes
124,no,yes,no,yes,yes,yes,no
125,yes,yes,yes,yes,yes,yes,yes
126,yes,yes,yes,yes,no,yes,yes
127,yes,yes,yes,yes,yes,yes,yes
128,no,no,yes,yes,yes,no,no
129,no,yes,yes,yes,yes,yes,yes
130,yes,yes,yes,yes,yes,yes,yes
131,yes,no,no,no,no,no,yes
132,no,yes,yes,no,no,no,no
133,no,no,no,no,no,no,yes
134,no,no,no,no,no,no,yes
135,no,no,yes,yes,yes,yes,yes
136,yes,no,yes,no,yes,no,no
137,no,no,no,no,no,yes,no
138,no,no,no,yes,yes,yes,yes
139,no,yes,no,no,no,no,no
140,no,no,no,no,no,no,no
141,yes,no,no,yes,no,yes,yes
142,yes,yes,yes,yes,no,yes,yes
143,yes,yes,no,no,yes,no,yes
144,yes,no,no,yes,yes,no,no
145,yes,yes,no,no,yes,yes,yes
146,yes,yes,yes,yes,yes,yes,yes
147,no,yes,yes,no,yes,yes,yes
148,no,yes,yes,yes,no,no,no
149,no,yes,yes,yes,no,no,yes
150,yes,no,yes,yes,no,yes,yes
151,no,yes,no,yes,yes,yes,yes
