Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
3,yes,yes,yes,no
4,yes,yes,yes,no
5,no,no,yes,yes
7,no,no,no,yes
19,yes,no,no,no
46,no,yes,no,no
53,no,yes,yes,no
54,yes,yes,yes,no
65,yes,no,no,yes
66,yes,no,yes,no
79,yes,yes,yes,yes
95,no,no,yes,yes
98,no,yes,no,no
99,yes,yes,yes,yes
103,no,no,no,no
105,no,yes,no,no
124,yes,yes,yes,yes
130,no,no,yes,no
133,yes,no,yes,no
134,yes,no,no,yes
136,no,yes,no,no
145,no,yes,no,no
166,yes,yes,yes,yes
168,yes,yes,yes,yes
172,no,no,yes,yes
191,yes,yes,yes,yes
198,yes,yes,no,no
201,no,no,no,no
212,yes,yes,yes,yes
218,yes,yes,no,yes
226,no,yes,no,yes
232,yes,yes,yes,yes
233,no,yes,yes,yes
241,no,no,no,no
249,no,no,yes,yes
259,no,yes,no,yes
261,no,no,no,yes
274,yes,yes,yes,no
277,no,yes,yes,yes
286,yes,no,yes,yes
309,yes,yes,yes,yes
310,no,no,yes,yes
316,yes,yes,yes,yes
321,no,yes,no,yes
334,no,yes,yes,no
341,no,no,yes,yes
348,no,no,no,yes
353,no,no,no,yes
357,yes,no,no,no
363,no,no,no,yes
369,no,no,yes,yes
370,no,no,yes,yes
374,no,yes,no,no
383,yes,yes,yes,yes
384,no,yes,no,no
403,no,yes,no,no
404,yes,no,yes,no
409,no,yes,yes,yes
420,yes,no,yes,yes
423,no,no,yes,no
439,yes,yes,yes,yes
447,yes,yes,yes,no
448,yes,no,yes,no
454,no,no,no,no
456,no,yes,no,no
460,yes,yes,yes,yes
461,no,yes,yes,yes
466,no,yes,yes,yes
479,no,yes,yes,yes
485,no,no,no,no
504,no,yes,no,yes
520,no,yes,yes,yes
527,yes,yes,yes,yes
532,no,yes,yes,yes
538,yes,no,yes,yes
544,yes,yes,yes,yes
545,no,no,no,no
549,no,no,no,no
551,yes,yes,yes,yes
553,yes,yes,yes,no
566,yes,no,yes,yes
569,no,yes,yes,yes
573,yes,yes,yes,yes
584,no,no,yes,no
587,no,no,yes,yes
588,yes,yes,yes,no
592,no,no,yes,yes
593,yes,yes,yes,yes
617,yes,yes,yes,no
620,no,no,no,no
625,no,yes,yes,yes
663,yes,yes,yes,yes
664,yes,yes,no,no
665,yes,yes,no,yes
673,no,yes,yes,no
674,yes,yes,yes,yes
684,yes,yes,yes,yes
690,yes,yes,no,yes
693,yes,yes,yes,yes
695,no,yes,yes,yes
699,no,yes,yes,yes
700,no,yes,yes,yes
708,no,no,no,no
711,yes,yes,yes,yes
727,no,yes,yes,no
730,no,yes,no,yes
736,no,yes,yes,yes
742,no,yes,yes,yes
745,no,yes,yes,no
751,no,no,yes,no
754,no,no,yes,yes
761,no,no,no,no
764,no,no,no,yes
770,yes,yes,no,no
777,no,yes,yes,yes
790,yes,yes,yes,yes
796,no,yes,yes,no
813,no,yes,yes,yes
832,yes,yes,yes,no
833,no,no,no,no
837,yes,yes,yes,yes
845,no,no,yes,yes
848,no,yes,yes,yes
854,no,yes,yes,no
856,yes,no,no,yes
861,no,yes,yes,no
877,yes,no,yes,yes
878,no,yes,yes,no
879,no,no,no,no
895,no,yes,yes,yes
896,no,no,yes,yes
897,yes,yes,no,no
903,no,no,yes,yes
912,no,yes,no,yes
924,no,no,yes,yes
929,no,no,no,no
931,no,no,no,yes
933,yes,yes,yes,yes
941,yes,yes,no,no
951,yes,yes,no,yes
956,no,no,yes,yes
964,yes,no,yes,yes
965,yes,no,yes,yes
974,no,yes,yes,yes
984,no,no,no,yes
987,no,no,no,yes
1000,no,yes,yes,yes
1003,no,yes,yes,yes
1005,no,no,yes,yes
1012,no,no,yes,yes
1028,no,yes,no,no
1029,yes,yes,yes,yes
1038,no,no,yes,yes
1039,yes,yes,yes,yes
1041,no,yes,yes,yes
1045,no,no,no,no
1046,no,no,yes,yes
1047,no,no,no,yes
1056,no,no,yes,yes
1059,no,no,no,no
1061,yes,no,yes,yes
1064,no,yes,yes,yes
1073,yes,yes,no,no
1076,no,no,no,no
1079,no,yes,yes,yes
1080,yes,yes,yes,yes
1093,yes,yes,yes,yes
1113,no,no,no,no
1118,no,no,yes,no
1120,no,no,yes,yes
1121,no,no,yes,no
1148,no,no,yes,yes
1150,no,no,no,yes
1159,no,no,yes,yes
1162,no,no,yes,yes
1188,no,yes,yes,yes
