Directory Name,You are a preschooler.json,You are in elementary school.json,You are in high school.json,You have a PhD in mathematics.json
12,yes,yes,yes,yes
15,yes,no,yes,no
21,no,yes,no,no
29,yes,yes,yes,yes
40,no,no,no,no
49,no,no,yes,no
52,no,yes,yes,no
60,yes,yes,yes,yes
67,no,no,no,no
70,no,yes,yes,yes
75,yes,no,no,yes
76,yes,no,yes,no
81,no,no,no,no
83,no,no,yes,no
91,no,no,no,no
92,no,yes,yes,yes
98,no,yes,yes,yes
112,yes,yes,yes,no
125,no,no,no,no
129,no,no,no,yes
163,no,no,no,no
165,yes,yes,yes,yes
183,no,no,no,yes
194,yes,no,no,no
198,yes,yes,yes,yes
222,no,yes,no,yes
224,no,no,no,no
225,yes,no,yes,yes
227,yes,yes,yes,yes
235,yes,yes,yes,yes
239,yes,yes,yes,yes
241,no,yes,no,no
248,no,yes,no,no
252,yes,yes,yes,yes
253,no,no,yes,no
256,no,yes,yes,no
257,no,no,no,no
268,no,no,yes,no
273,no,no,yes,no
285,no,no,no,yes
308,no,no,no,no
310,yes,no,no,yes
311,yes,no,yes,no
320,yes,no,yes,yes
322,no,no,no,no
335,no,yes,no,no
336,no,no,no,no
340,no,no,no,no
344,yes,yes,yes,yes
345,no,no,yes,yes
350,no,no,no,no
360,yes,yes,yes,no
363,no,no,yes,yes
370,no,yes,no,yes
372,no,no,no,yes
376,no,no,no,no
379,yes,no,yes,yes
380,no,no,yes,yes
382,no,no,no,no
411,yes,no,no,yes
420,no,no,no,yes
421,yes,no,yes,yes
447,yes,yes,yes,yes
448,no,yes,yes,yes
457,no,no,no,no
458,no,no,no,yes
459,yes,yes,yes,no
468,no,no,no,no
469,yes,yes,no,no
471,no,no,yes,yes
493,no,no,no,yes
500,yes,yes,yes,yes
502,no,no,no,yes
511,no,no,no,no
515,no,no,yes,no
534,yes,yes,no,no
538,no,yes,yes,no
550,no,no,yes,no
558,no,no,no,no
562,yes,yes,yes,no
567,yes,yes,yes,yes
574,no,no,yes,yes
578,no,no,yes,yes
591,yes,yes,no,yes
610,no,no,no,no
613,yes,yes,yes,no
615,no,no,no,yes
618,yes,yes,yes,yes
629,yes,yes,yes,yes
638,yes,no,yes,no
643,yes,no,no,no
646,no,yes,no,yes
647,yes,yes,no,no
665,no,yes,yes,no
668,yes,no,yes,yes
691,no,no,no,no
693,no,no,yes,yes
698,yes,no,yes,yes
701,no,no,yes,no
702,no,no,no,yes
715,no,no,no,no
719,no,no,no,no
734,yes,no,no,no
738,no,no,no,no
750,yes,yes,yes,yes
772,yes,no,no,yes
775,no,no,no,no
786,no,no,no,no
791,yes,yes,no,no
800,no,no,no,yes
812,yes,yes,no,yes
817,yes,yes,yes,yes
818,no,no,yes,no
819,no,no,no,no
820,no,yes,no,yes
822,yes,no,no,yes
826,no,yes,yes,yes
830,no,no,no,no
832,no,yes,no,yes
836,yes,yes,no,yes
842,no,yes,no,yes
848,no,no,no,no
854,no,no,yes,no
856,yes,no,no,yes
879,no,no,no,yes
881,yes,no,yes,no
882,yes,yes,no,no
888,no,no,no,no
895,no,yes,yes,yes
906,yes,yes,yes,yes
912,no,no,yes,no
926,yes,yes,yes,yes
928,yes,yes,no,no
929,yes,yes,yes,no
931,no,yes,no,no
937,yes,no,yes,yes
945,yes,no,no,no
947,no,no,no,no
954,no,yes,no,yes
958,no,yes,yes,yes
961,yes,yes,yes,yes
979,yes,yes,yes,no
995,yes,yes,no,yes
1001,no,no,yes,no
1011,yes,yes,yes,yes
1017,no,no,no,no
1024,yes,no,yes,yes
1030,no,no,no,no
1031,no,no,no,no
1037,no,yes,no,yes
1045,yes,yes,yes,yes
1054,no,no,no,yes
1063,no,no,no,yes
1068,yes,yes,yes,yes
1080,yes,no,no,no
1085,no,yes,no,no
1086,no,yes,yes,yes
1099,no,no,no,no
1101,no,yes,no,no
1121,yes,no,no,yes
