Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
12,yes,no,yes,yes
15,yes,yes,yes,yes
21,yes,yes,yes,yes
29,no,yes,yes,yes
40,no,no,no,no
49,no,yes,no,yes
52,no,no,yes,no
60,yes,yes,yes,yes
67,yes,yes,yes,yes
70,yes,yes,yes,yes
75,yes,yes,yes,no
76,yes,no,yes,yes
81,yes,no,yes,yes
83,yes,no,no,no
91,no,no,yes,no
92,yes,yes,yes,no
98,yes,no,no,no
112,yes,yes,yes,yes
125,no,no,yes,yes
129,no,yes,yes,yes
163,no,yes,yes,yes
165,yes,yes,yes,yes
183,yes,no,no,yes
194,no,no,yes,yes
198,yes,yes,yes,yes
222,yes,yes,yes,yes
224,yes,yes,yes,yes
225,no,yes,yes,yes
227,no,yes,yes,yes
235,yes,yes,no,yes
239,no,yes,yes,yes
241,no,no,no,no
248,yes,yes,yes,yes
252,yes,yes,yes,yes
253,yes,yes,no,no
256,yes,yes,yes,yes
257,no,yes,yes,no
268,no,yes,yes,yes
273,no,yes,no,yes
285,no,no,no,no
308,yes,yes,yes,yes
310,yes,yes,yes,yes
311,yes,no,yes,yes
320,no,no,no,no
322,no,no,no,no
335,no,yes,no,no
336,no,yes,yes,yes
340,yes,no,no,no
344,no,yes,yes,yes
345,yes,yes,no,yes
350,no,no,no,no
360,yes,yes,yes,yes
363,yes,yes,yes,yes
370,no,no,no,yes
372,no,no,no,yes
376,yes,yes,yes,no
379,yes,yes,yes,yes
380,no,yes,yes,no
382,yes,yes,yes,yes
411,yes,no,yes,yes
420,yes,yes,yes,yes
421,no,yes,no,yes
447,yes,yes,yes,yes
448,yes,yes,yes,yes
457,no,yes,yes,yes
458,yes,no,no,no
459,yes,yes,no,yes
468,yes,yes,yes,yes
469,no,yes,yes,no
471,no,yes,yes,no
493,no,no,yes,yes
500,yes,yes,yes,yes
502,yes,no,yes,yes
511,no,yes,yes,yes
515,no,no,no,yes
534,yes,yes,no,yes
538,yes,yes,yes,yes
550,yes,yes,yes,yes
558,no,no,yes,no
562,no,yes,yes,yes
567,no,yes,yes,yes
574,yes,yes,yes,yes
578,yes,yes,yes,yes
591,yes,yes,yes,yes
610,yes,no,no,no
613,no,yes,yes,yes
615,no,no,no,yes
618,yes,yes,yes,no
629,yes,yes,yes,yes
638,no,yes,yes,yes
643,no,no,yes,yes
646,yes,yes,yes,yes
647,yes,no,no,yes
665,yes,yes,yes,yes
668,yes,no,no,yes
691,no,no,no,no
693,yes,yes,yes,yes
698,no,yes,yes,yes
701,no,yes,no,yes
702,no,yes,yes,yes
715,no,yes,no,no
719,no,no,no,no
734,yes,no,yes,yes
738,no,no,no,yes
750,yes,yes,yes,yes
772,yes,yes,yes,no
775,yes,yes,yes,yes
786,yes,no,yes,no
791,yes,yes,yes,yes
800,yes,no,no,yes
812,yes,yes,yes,yes
817,yes,yes,no,no
818,no,yes,yes,no
819,no,yes,yes,yes
820,yes,yes,yes,yes
822,no,yes,no,no
826,yes,yes,yes,yes
830,no,yes,no,no
832,no,no,no,no
836,yes,yes,yes,yes
842,yes,yes,yes,yes
848,no,no,no,no
854,yes,yes,yes,yes
856,yes,no,yes,yes
879,no,yes,no,yes
881,yes,yes,yes,yes
882,yes,no,yes,yes
888,yes,yes,yes,no
895,yes,yes,yes,yes
906,yes,yes,yes,yes
912,yes,yes,no,yes
926,yes,no,no,no
928,no,yes,yes,yes
929,no,no,yes,yes
931,yes,yes,yes,yes
937,no,yes,yes,yes
945,yes,no,no,yes
947,no,no,no,yes
954,no,yes,no,no
958,yes,yes,yes,yes
961,no,yes,yes,yes
979,yes,no,yes,no
995,yes,yes,yes,yes
1001,no,no,yes,yes
1011,yes,yes,yes,yes
1017,yes,no,no,yes
1024,yes,yes,yes,yes
1030,yes,yes,yes,yes
1031,no,yes,no,yes
1037,yes,yes,yes,yes
1045,yes,yes,yes,yes
1054,yes,yes,yes,yes
1063,yes,yes,no,yes
1068,yes,yes,yes,yes
1080,yes,yes,yes,yes
1085,yes,yes,no,yes
1086,no,yes,yes,yes
1099,no,no,no,yes
1101,yes,no,yes,yes
1121,no,no,no,yes
