Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
7,yes,yes,yes,yes
8,yes,yes,yes,yes
9,no,yes,yes,yes
17,no,yes,yes,no
25,yes,yes,yes,yes
36,no,no,no,yes
62,no,yes,yes,yes
74,no,no,yes,no
79,yes,yes,yes,yes
80,no,yes,no,yes
88,no,yes,no,yes
91,no,yes,yes,yes
93,no,yes,no,yes
104,yes,no,yes,yes
105,yes,yes,yes,yes
107,no,yes,no,yes
111,yes,yes,yes,yes
112,yes,yes,yes,yes
123,yes,no,yes,yes
124,no,no,no,yes
134,no,yes,yes,no
142,yes,no,yes,yes
153,yes,yes,yes,yes
158,yes,yes,yes,yes
160,yes,yes,yes,yes
166,yes,yes,no,yes
192,no,yes,no,yes
195,no,no,yes,yes
196,yes,yes,yes,yes
204,yes,yes,yes,yes
205,no,no,yes,yes
208,no,no,yes,yes
210,yes,yes,no,yes
213,yes,yes,yes,yes
214,no,yes,yes,yes
215,yes,yes,yes,yes
238,yes,yes,yes,yes
245,no,no,yes,yes
246,no,yes,yes,yes
248,no,no,yes,no
250,no,yes,yes,no
265,yes,no,no,yes
268,no,yes,yes,no
278,yes,yes,no,yes
279,yes,yes,yes,yes
281,yes,yes,yes,no
285,yes,yes,yes,yes
292,yes,yes,yes,yes
295,yes,yes,yes,yes
308,yes,yes,yes,yes
310,yes,yes,yes,yes
325,yes,no,yes,yes
330,yes,yes,yes,yes
331,yes,yes,yes,yes
352,yes,no,no,yes
354,yes,yes,yes,yes
361,yes,no,no,yes
362,yes,yes,yes,yes
369,yes,yes,yes,yes
371,no,yes,yes,yes
378,yes,no,yes,yes
381,yes,yes,yes,yes
387,yes,no,no,no
396,yes,yes,yes,yes
400,no,yes,yes,yes
406,yes,yes,yes,yes
418,no,yes,yes,yes
419,yes,no,no,yes
424,no,no,no,no
431,yes,no,no,no
434,no,no,yes,yes
454,no,yes,yes,yes
462,yes,yes,yes,yes
487,yes,yes,yes,yes
489,yes,yes,yes,yes
500,yes,yes,yes,yes
503,yes,yes,yes,yes
509,no,no,no,yes
513,no,yes,yes,yes
518,yes,yes,yes,yes
526,no,yes,yes,yes
528,yes,yes,yes,yes
535,yes,yes,yes,yes
544,no,no,no,yes
568,yes,yes,yes,yes
571,no,no,no,yes
588,no,no,no,no
596,yes,yes,yes,yes
597,no,yes,yes,no
599,yes,no,no,no
602,no,yes,yes,yes
604,yes,yes,yes,yes
623,yes,no,yes,yes
624,no,yes,no,yes
632,no,yes,yes,no
636,yes,yes,no,yes
641,yes,yes,yes,yes
651,yes,yes,yes,yes
654,yes,yes,yes,yes
667,yes,no,yes,yes
681,yes,yes,yes,yes
684,yes,yes,yes,yes
687,no,no,yes,no
688,yes,yes,no,no
697,no,yes,no,yes
705,yes,yes,yes,yes
715,yes,yes,no,yes
719,yes,no,no,yes
723,yes,yes,yes,yes
725,yes,yes,no,yes
748,no,yes,yes,yes
752,no,no,yes,yes
755,yes,yes,yes,yes
762,yes,yes,yes,yes
768,yes,yes,no,no
773,no,yes,yes,yes
789,no,yes,yes,yes
800,yes,yes,yes,yes
802,no,yes,yes,yes
837,no,yes,yes,yes
841,no,no,yes,yes
842,no,yes,yes,yes
849,yes,yes,yes,yes
856,yes,yes,yes,yes
861,no,no,yes,yes
862,yes,yes,yes,yes
863,yes,yes,yes,yes
866,no,yes,yes,yes
889,yes,yes,yes,yes
899,yes,yes,yes,yes
904,yes,yes,yes,yes
908,no,yes,yes,no
918,yes,yes,yes,yes
920,yes,yes,yes,yes
922,yes,yes,yes,yes
926,yes,yes,yes,yes
939,yes,yes,yes,no
941,no,yes,yes,yes
944,no,no,yes,yes
945,no,yes,yes,yes
948,yes,yes,yes,yes
977,no,yes,yes,yes
979,yes,yes,yes,yes
983,yes,yes,yes,yes
995,yes,yes,no,yes
1008,no,no,no,no
1010,no,no,no,yes
1011,no,yes,yes,yes
1012,yes,yes,yes,yes
1014,yes,no,yes,yes
1015,no,no,yes,yes
1016,no,no,no,no
1021,no,no,yes,yes
1023,no,no,no,no
1029,no,no,no,no
1034,yes,no,no,no
1041,no,yes,yes,yes
1042,no,no,no,no
1049,yes,no,yes,yes
1057,no,no,no,no
1058,yes,yes,yes,yes
1066,no,no,yes,yes
1075,yes,yes,yes,no
1080,yes,yes,yes,no
1086,no,yes,yes,yes
1089,yes,no,yes,yes
1091,no,no,yes,no
1107,no,yes,yes,yes
1135,no,no,yes,no
1153,no,no,no,yes
1156,yes,yes,yes,yes
1159,yes,yes,yes,yes
1163,yes,no,yes,yes
1170,no,yes,yes,no
1180,yes,yes,yes,yes
1182,yes,yes,no,yes
1189,yes,yes,yes,yes
1198,yes,yes,yes,yes
1204,no,no,yes,no
1214,no,no,yes,yes
1221,yes,yes,yes,no
1225,no,yes,yes,yes
1242,yes,yes,yes,yes
1247,yes,no,yes,yes
1249,yes,yes,yes,yes
1262,yes,yes,yes,yes
1269,yes,yes,yes,yes
1271,no,yes,yes,yes
1294,yes,yes,yes,yes
25063,yes,no,no,no
25764,no,yes,yes,yes
