Directory Name,Approach the following multiple choice question the way a physician would.json,Approach the following multiple choice question the way a medical researcher would.json,Approach the following multiple choice question the way a doctor would.json,Solve the following multiple choice question.json
1,yes,yes,yes,yes
2,no,yes,no,no
3,N/A,N/A,N/A,N/A
4,N/A,N/A,N/A,N/A
5,no,no,yes,no
6,yes,yes,yes,no
7,N/A,N/A,N/A,N/A
8,yes,yes,yes,no
9,no,yes,yes,yes
10,yes,yes,yes,no
11,no,yes,yes,no
12,N/A,N/A,N/A,N/A
13,yes,no,no,yes
14,N/A,N/A,N/A,N/A
15,yes,yes,yes,yes
16,yes,yes,yes,yes
17,yes,yes,yes,yes
18,N/A,N/A,N/A,N/A
19,no,yes,no,yes
20,yes,yes,yes,no
21,N/A,N/A,N/A,N/A
22,no,yes,no,no
23,N/A,N/A,N/A,N/A
24,no,yes,no,yes
25,yes,yes,yes,yes
26,yes,yes,yes,no
27,yes,yes,yes,yes
28,no,yes,no,yes
29,yes,no,no,no
30,yes,no,no,no
31,N/A,N/A,N/A,N/A
32,N/A,N/A,N/A,N/A
33,no,yes,yes,no
34,N/A,N/A,N/A,N/A
35,yes,yes,yes,yes
36,yes,yes,yes,yes
37,N/A,N/A,N/A,N/A
38,N/A,N/A,N/A,N/A
39,yes,yes,yes,no
40,no,yes,no,yes
41,N/A,N/A,N/A,N/A
42,N/A,N/A,N/A,N/A
43,yes,yes,yes,yes
44,no,yes,yes,yes
45,N/A,N/A,N/A,N/A
46,yes,yes,yes,no
47,N/A,N/A,N/A,N/A
48,no,yes,yes,no
49,yes,yes,yes,no
50,yes,yes,yes,yes
51,N/A,N/A,N/A,N/A
52,yes,yes,no,no
53,N/A,N/A,N/A,N/A
54,yes,yes,yes,no
55,yes,yes,yes,no
56,N/A,N/A,N/A,N/A
57,N/A,N/A,N/A,N/A
58,N/A,N/A,N/A,N/A
59,yes,yes,yes,no
60,no,yes,yes,yes
61,N/A,N/A,N/A,N/A
62,no,yes,no,yes
63,yes,yes,yes,no
64,no,yes,yes,no
65,no,yes,yes,no
66,N/A,N/A,N/A,N/A
67,N/A,N/A,N/A,N/A
68,yes,yes,yes,yes
69,yes,yes,yes,no
70,yes,yes,yes,no
71,yes,yes,yes,no
72,no,yes,yes,yes
73,N/A,N/A,N/A,N/A
74,no,no,no,yes
75,yes,yes,no,no
76,N/A,N/A,N/A,N/A
77,yes,no,no,yes
78,no,yes,no,no
79,N/A,N/A,N/A,N/A
80,yes,yes,yes,no
81,N/A,N/A,N/A,N/A
82,N/A,N/A,N/A,N/A
83,no,yes,yes,no
84,no,no,no,no
85,no,yes,yes,no
86,yes,yes,yes,yes
87,no,yes,no,no
88,yes,no,no,yes
89,yes,yes,yes,yes
90,no,yes,no,yes
91,N/A,N/A,N/A,N/A
92,yes,yes,yes,yes
93,N/A,N/A,N/A,N/A
94,yes,yes,yes,no
95,yes,yes,yes,no
96,no,no,no,no
97,yes,yes,yes,no
98,yes,yes,yes,no
99,no,no,yes,no
100,yes,yes,yes,yes
101,no,no,no,no
102,yes,yes,no,no
103,no,yes,yes,no
104,yes,yes,yes,yes
105,yes,yes,yes,no
106,no,yes,no,no
107,N/A,N/A,N/A,N/A
108,yes,yes,yes,no
109,yes,yes,yes,yes
110,N/A,N/A,N/A,N/A
111,N/A,N/A,N/A,N/A
112,yes,yes,no,no
113,yes,yes,no,no
114,N/A,N/A,N/A,N/A
115,N/A,N/A,N/A,N/A
116,yes,yes,no,no
117,N/A,N/A,N/A,N/A
118,no,yes,yes,yes
119,no,yes,yes,no
120,yes,no,yes,no
121,N/A,N/A,N/A,N/A
122,yes,yes,yes,no
123,N/A,N/A,N/A,N/A
124,N/A,N/A,N/A,N/A
125,N/A,N/A,N/A,N/A
126,N/A,N/A,N/A,N/A
127,yes,yes,no,yes
128,yes,yes,yes,yes
129,yes,yes,yes,yes
130,yes,yes,yes,yes
131,no,yes,yes,yes
132,yes,no,yes,no
133,N/A,N/A,N/A,N/A
134,yes,no,yes,no
135,N/A,N/A,N/A,N/A
136,no,no,no,no
137,yes,yes,yes,yes
138,yes,yes,yes,no
139,N/A,N/A,N/A,N/A
140,yes,no,yes,no
141,yes,yes,yes,no
142,N/A,N/A,N/A,N/A
143,yes,yes,yes,no
144,yes,yes,yes,yes
145,yes,yes,yes,yes
146,no,yes,no,no
147,N/A,N/A,N/A,N/A
148,yes,no,yes,no
149,yes,yes,no,yes
150,N/A,N/A,N/A,N/A
151,yes,yes,no,no
152,no,yes,yes,yes
153,N/A,N/A,N/A,N/A
154,yes,yes,yes,yes
155,yes,yes,yes,yes
156,yes,yes,yes,no
157,no,yes,yes,no
158,N/A,no,no,yes
159,no,yes,yes,no
160,yes,yes,yes,yes
161,yes,yes,yes,yes
162,yes,yes,yes,no
163,yes,yes,no,yes
164,N/A,N/A,N/A,N/A
165,yes,no,yes,yes
166,yes,yes,yes,yes
167,N/A,N/A,N/A,N/A
168,yes,yes,yes,yes
169,yes,yes,yes,yes
170,N/A,N/A,N/A,N/A
171,N/A,N/A,N/A,N/A
172,no,yes,yes,no
173,yes,yes,no,no
174,yes,yes,yes,yes
175,no,yes,no,no
176,N/A,N/A,N/A,N/A
177,yes,yes,yes,yes
178,yes,yes,yes,yes
179,no,no,yes,no
180,N/A,N/A,N/A,N/A
181,no,no,no,no
182,yes,yes,yes,no
183,N/A,N/A,N/A,N/A
184,yes,yes,yes,yes
185,yes,yes,yes,yes
186,N/A,N/A,N/A,N/A
187,N/A,N/A,N/A,N/A
188,yes,yes,no,no
189,yes,yes,yes,yes
190,yes,yes,yes,no
191,yes,no,yes,yes
192,yes,yes,yes,no
193,yes,yes,yes,no
194,no,yes,no,yes
195,yes,yes,yes,yes
196,yes,yes,no,yes
197,yes,yes,yes,no
198,no,yes,yes,no
199,yes,yes,yes,no
200,yes,yes,no,no
201,no,no,no,no
202,N/A,N/A,N/A,N/A
203,yes,yes,yes,no
204,N/A,N/A,N/A,N/A
205,yes,yes,no,yes
206,N/A,N/A,N/A,N/A
207,yes,yes,yes,yes
208,N/A,N/A,N/A,N/A
209,no,yes,yes,no
210,no,no,no,no
211,yes,yes,yes,no
212,N/A,N/A,N/A,N/A
213,no,yes,yes,yes
214,N/A,N/A,N/A,N/A
215,yes,yes,yes,no
216,N/A,N/A,N/A,N/A
217,N/A,N/A,N/A,N/A
218,yes,yes,yes,yes
219,N/A,N/A,N/A,N/A
220,yes,yes,no,no
221,yes,yes,yes,yes
222,N/A,N/A,N/A,N/A
223,no,no,no,yes
224,yes,yes,yes,no
225,yes,yes,no,no
226,yes,yes,yes,no
227,N/A,N/A,N/A,N/A
228,N/A,N/A,N/A,N/A
229,yes,yes,yes,no
230,N/A,N/A,N/A,N/A
231,yes,yes,yes,no
232,no,yes,no,no
233,yes,yes,yes,yes
234,no,no,no,no
235,N/A,N/A,N/A,N/A
236,yes,no,yes,no
237,yes,yes,yes,yes
238,no,yes,yes,no
239,yes,yes,yes,no
240,yes,yes,yes,no
241,yes,yes,yes,no
242,no,yes,yes,no
243,N/A,N/A,N/A,N/A
244,N/A,N/A,N/A,N/A
245,N/A,N/A,N/A,N/A
246,N/A,N/A,N/A,N/A
247,N/A,N/A,N/A,N/A
